rating,list_price,weight,lifestage,protein,caloric,size,category,fibre,review_count,ingredients,itemnumber,moisture,madein,price,foodform,brand,fat,breedsize,specialdiet,benefits,product_list,maker,foodtexture
4.5,"
                        $38.16",,"adult, all stages",9.5% min,"935 kcal /kg, 356 kcal/13.2 oz can",,"Dog,Food,Wet Food",1.4% max,63,"deboned chicken, chicken broth, potato, carrots, peas, apples, dried egg product, natural chicken flavor, carrageenan, calcium carbonate, potassium chloride, vitamins (choline chloride, vitamin e supplement, vitamin b12, d-calcium pantothenate, vitamin a supplement, niacin, vitamin d3 supplement, riboflavin, pyridoxine hydrochloride, folic acid, biotin, thiamine mononitrate), guar gum, salt, sodium phosphate, cassia gum, canola oil, olive oil, flax oil, minerals (zinc amino acid complex, iron amino acid complex, manganese amino acid complex, copper amino acid complex, potassium iodide, cobalt glucoheptonate, sodium selenite), thyme, sage, rosemary, yucca schidigera extract, lecithin.",71901,81.0% max,united states,"
                        $32.40",wet food,,4.5% min,"extra small & toy breeds, small breeds","no corn no wheat no soy, gluten free, grain-free","<li>inspired by delicious chicken pot pie</li>,<li>grain free recipe features deboned chicken as the first ingredient</li>,<li>no artificial colors, flavors or preservatives</li>,<li>balanced nutrition in every can of dog food</li>,<li>ingredients include red new potatoes, carrots, peas and red delicious apples</li>","merrick classic grain-free grammy's pot pie toy & small breed recipe canned dog food,3.2-oz,case of 24",By Merrick,chunks in gravy
4.8,"
                        $36.50",8.7 pounds,puppy,8.0% min,"1,007 kcal/kg, 166 kcal/5.8 oz can",,"Dog,Food,Wet Food",2.0% max,42,"water sufficient for processing, chicken, pork by-products, pork liver, rice flour, wheat gluten, dried plain beet pulp, powdered cellulose, fish oil, carrageenan, sodium silico aluminate, calcium carbonate, natural flavors, sodium tripolyphosphate, potassium phosphate, taurine, potassium chloride, vitamins [dl-alpha tocopherol acetate (source of vitamin e), l-ascorbyl-2-polyphosphate (source of vitamin c), biotin, thiamine mononitrate (vitamin b1), niacin supplement, d-calcium pantothenate, riboflavin supplement, pyridoxine hydrochloride (vitamin b6), vitamin b12 supplement, folic acid, vitamin d3 supplement], trace minerals (zinc oxide, ferrous sulfate, zinc proteinate, copper sulfate, manganous oxide, sodium selenite, calcium iodate), marigold extract (tagetes erecta l.).",63382,79.0% max,united states,"
                        $34.48",wet food,royal canin size health nutrition,4.5% min,"extra small & toy breeds, small breeds",,"<li>specifically formulated for growing puppies up to 22 pounds and 10 months old. a complete and balanced meal by itself or a great kibble addition.</li>,<li>it provides the nutrition to support your puppies growth and development, and their high energy levels.</li>,<li>vitamins, c, e, lutein and taurine support your puppies developing immune system.</li>,<li>highly digestible proteins, beet pulp, and fish oil work in tandem to support a developing digestive tract.</li>,<li>made in the usa!</li>","royal canin puppy appetite stimulation canned dog food,5.8-oz,case of 24",By Royal Canin,pate
4.7,"
                        $27.48",,"all stages, adult",6.0% min,"900 kcal/kg, 327 kcal/g",,"Dog,Food,Wet Food",2.0% max,65,"chicken, chicken broth, lamb, ocean whitefish, brown rice, pearled barley, sunflower oil (source of omega-6 fatty acids), eggs, guar gum, dicalcium phosphate, potassium chloride, choline chloride, carrageenan, salt, psyllium seed husk, flaxseed oil (source of omega-3 fatty acids), kelp, rosemary extract, cranberries, yucca schidigera extract, lecithin, cassia gum, glucosamine hydrochloride, chondroitin sulfate, vitamins (ascorbic acid (source of vitamin c), vitamin e supplement, vitamin b12 supplement, vitamin a supplement, d-calcium pantothenate, vitamin d3 supplement, niacin, riboflavin supplement, biotin, pyridoxine hydrochloride, folic acid, thiamine mononitrate), minerals (zinc amino acid chelate, iron amino acid chelate, manganese amino acid chelate, copper amino acid chelate, sodium selenite, calcium iodate).",47021,75.0% max,united states,"
                        $23.88",wet food,,4.5% min,"all breeds, small breeds, medium breeds, large breeds","weight control, no corn no wheat no soy","<li>vet formulated for all ages, breeds and sizes, and especially for less active overweight and senior dogs.</li>,<li>made with nutritionally dense chicken, lamb and fish for optimum protein.</li>,<li>premium ingredients plus added vitamins and minerals make for great-tasting nutrition.</li>,<li>simmered in a broth for an irresistible flavor that dogs love.</li>,<li>made with uncompromised quality by the family-owned company without corn, wheat or soy.</li>","canidae life stages platinum formula canned dog food,13-oz,case of 12",By CANIDAE,pate
4.7,"
                        $26.99",,senior,3.5% min,259 kcal/12.5 oz can,,"Dog,Food,Wet Food",2.0% max,11,"beef broth, red bell pepper, beef, carrots, pork liver, rice, green peas, rice starch, chicken, chicken liver flavor, powdered cellulose, whole grain barley, soybean oil, dried beet pulp, flaxseed, potassium alginate, calcium chloride, wheat gluten, caramel color, chicken fat, choline chloride, dicalcium phosphate, guar gum, calcium lactate, calcium gluconate, monosodium phosphate, vitamins (vitamin e supplement, l-ascorbyl-2-polyphosphate (source of vitamin c), thiamine mononitrate, niacin supplement, calcium pantothenate, vitamin b12 supplement, pyridoxine hydrochloride, biotin, riboflavin supplement, vitamin d3 supplement, folic acid), sodium tripolyphosphate, minerals (zinc oxide, ferrous sulfate, manganese sulfate, copper sulfate, calcium iodate), magnesium oxide.",94008,,united states,"
                        $22.13",wet food,hill's,2.2% min,"all breeds, small breeds, medium breeds, large breeds",,"<li>combines the delicious flavors of braised beef and tender vegetables in a succulent stew</li>,<li>made without artificial flavors or preservatives</li>,<li>this wholesome recipe provides your dog with the perfect balance of taste and nutrition</li>,<li>vitamins and minerals are added for optimal health benefits</li>,<li>good for adult dogs 7+ years of age</li>","hill's science diet adult 7+ healthy cuisine braised beef,carrots & peas stew canned dog food,12.5-oz,case of 12",By Hill's Science Diet,stew
4.5,,,"adult, all stages",10.0% min,"111 kcal/100g, 410 kcal/can",,"Dog,Food,Wet Food",1.5% max,107,"chicken, water sufficient for processing, liver, guar gum.",50775,78.0% max,united states,"
                        $22.55",wet food,,5.0% min,"all breeds, small breeds, medium breeds, large breeds","no corn no wheat no soy, gluten free, grain-free","<li>a tasty all natural grain-free formula that's made in the usa</li>,<li>free from preservatives, salt, fillers, corn and soy for wholesome nutrients</li>,<li>contains added chelated trace minerals and vitamins for optimal health</li>,<li>this mouthwatering formula is a complete and balanced diet for all life stages</li>,<li>helps to build a dog's immunity with natural antioxidants and protection against environmental stress</li>","evanger's classic recipes cooked chicken grain-free canned dog food,12.8-oz,case of 12",By Evanger's,pate
4.7,"
                        $49.00",,"all stages, adult",8.0% min,383 kcal/can,,"Dog,Food,Wet Food",1.2% max,41,"duck, duck broth, peas, duck meal, carrots, chickpeas, agar-agar, salt, choline chloride, potassium chloride, blueberries, cranberries, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, sodium selenite, calcium iodate), vitamins (vitamin e supplement, thiamine mononitrate, niacin supplement, calcium pantothenate, biotin, vitamin a supplement, riboflavin supplement, vitamin b12 supplement, pyridoxine hydrochloride, vitamin d3 supplement, folic acid).",80250,78.0% max,united states,"
                        $35.88",wet food,,4.5% min,"all breeds, small breeds, medium breeds, large breeds","no corn no wheat no soy, low glycemic, limited ingredient diet, grain-free, gluten free","<li>grain-free and limited ingredient formula</li>,<li>made with farm-raised duck from western france, duck provides a flavorful source of complete protein that is often well tolerated by pets with food sensitivities</li>,<li>it’s high in essential omega-3 fatty acids, iron, phosphorus, zinc and selenium, while low in sodium</li>,<li>free of the most common potential canine allergens: corn, wheat, soy, dairy, and chicken</li>,<li>nutritionally correct ratio of fruits and vegetables rounds out the recipe with powerful antioxidants, and fiber-rich low glycemic carbohydrates</li>","zignature duck limited ingredient formula grain-free canned dog food,13-oz,case of 12",By Zignature,pate
4.4,,,"senior, adult",5.6% min,498 kcal/13 oz can,,"Dog,Food,Wet Food",1.5% max,30,"water, rice, liver, meat by-products, whole grain corn, lamb, rice flour, flaxseed, fish oil, cracked pearled barley, soybean meal, egg product, powdered cellulose, soybean oil, chicken liver flavor, calcium carbonate, dicalcium phosphate, potassium chloride, iron oxide, l-lysine, iodized salt, vitamin e supplement, choline chloride, glucosamine hydrochloride, l-tryptophan, taurine, soy lecithin, ascorbic acid (source of vitamin c), l-carnitine, l-arginine, zinc oxide, ferrous sulfate, thiamine mononitrate, chondroitin sulfate, beta-carotene, copper sulfate, manganous oxide, niacin, calcium pantothenate, vitamin b12 supplement, pyridoxine hydrochloride, biotin, vitamin d3 supplement, riboflavin, calcium iodate, folic acid, sodium selenite.",69768,,united states,"
                        $32.99",wet food,"hill's, science diet",5.4% min,"all breeds, small breeds, medium breeds, large breeds",prescription food,"<li>improving your dog's mobility can be as easy as feeding the right nutrition</li>,<li>help improve your dog's ability to run, walk and jump in as little as 21 days with a clinically proven combination of nutrients</li>,<li>an excellent source of the omega 3 fatty acid, epa, to nourish cartilage</li>,<li>controlled calorie content and added l-carnitine help maintain a healthy weight and avoid extra stress on joints</li>,<li>enriched with glucosamine and chondroitin sulfate and controlled calories and added l-carnitine for a healthy and highly palatable formula your dog will love</li>","hill's prescription diet j/d joint care with lamb canned dog food,13-oz,case of 12",By Hill's Prescription Diet,pate
5,"
                        $38.16",8.7 pounds,adult,7.0% min,"815 kcal/kg, 134 kcal/5.8 oz can",,"Dog,Food,Wet Food",2.5% max,18,"water sufficient for processing, pork by-products, chicken, corn flour, rice flour, powdered cellulose, dried plain beet pulp, carob bean gum, natural flavors, carrageenan, taurine, potassium chloride, sodium silico aluminate, vitamins [dl-alpha tocopherol acetate (source of vitamin e), l-ascorbyl-2-polyphosphate (source of vitamin c), biotin, thiamine mononitrate (vitamin b1), niacin supplement, d-calcium pantothenate, riboflavin supplement, pyridoxine hydrochloride (vitamin b6), vitamin b12 supplement, folic acid, vitamin d3 supplement], l-carnitine, trace minerals (zinc oxide, ferrous sulfate, zinc proteinate, copper sulfate, manganous oxide, sodium selenite, calcium iodate), marigold extract (tagetes erecta l.).",63384,80.0% max,united states,"
                        $34.48",wet food,royal canin size health nutrition,1.5% min,"extra small & toy breeds, small breeds",weight control,"<li>this formula is perfect for small and x-small breed that tend to gain weight. it's also the perfect compliment to royal canin x-small and mini dry formulas.</li>,<li>included l-carnitine helps the body to burn fat by converting fatty acids in energy and promoting lean muscle mass.</li>,<li>balanced ratios of protein and fat provide complete nutrition to your pup and helps to keep them at their healthiest weight.</li>,<li>ideal for small and x-small breeds that weight up to 22 pounds and are over 10 months of age.</li>,<li>made in the usa!</li>","royal canin weight care adult canned dog food,5.8-oz,case of 24",By Royal Canin,pate
4.5,"
                        $18.96",,adult,10.0% min,"savory steak flavor: 1,027 kcal/kg, 160 kcal/can; rotisserie chicken flavor: 1,025 kcal/kg, 160 kcal/can; egg & bacon country platter: 1,452 kcal/kg, 226 kcal/can",,"Dog,Food,Wet Food",1.5% max,15,"chicken, egg & bacon country platter: chicken, water sufficient for processing, meat by-products, liver, dried egg product, bacon (preserved with sodium nitrite), ground rice, added color, guar gum, potassium chloride, sodium tripolyphosphate, natural flavor, salt, carrageenan, ferrous sulfate, choline chloride, zinc oxide, vitamin e supplement, copper proteinate, sodium selenite, manganese sulfate, thiamine mononitrate, niacin supplement, calcium pantothenate, vitamin a supplement, riboflavin supplement, biotin, vitamin b-12 supplement, potassium iodide, pyridoxine hydrochloride, vitamin d-3 supplement, folic acid.",100694,78.0% max,united states,"
                        $8.25",wet food,purina,3.0% min,"extra small & toy breeds, small breeds",,"<li>made in the united states with 100% of the nutrients your dog needs to support an active lifestyle.</li>,<li>crafted precisely to meet the needs of small and toy breeds such as chihuahuas and pomeranians.</li>,<li>each mouth-watering mighty dog recipe is crafted without the use of artificial preservatives.</li>,<li>features a full range of amino acids, vitamins and minerals to meet a small dog’s unique nutritional needs.</li>,<li>includes a variety of delicious and tempting flavors in each pack to keep picky dogs from becoming bored.</li>","mighty dog savory steak flavor,rotisserie chicken flavor & chicken,egg & bacon country platter variety pack canned dog food,5.5-oz,case of 12",By Mighty Dog,minced
4.8,"
                        $39.82",,"all stages, adult",11.5% min,397 kcal/can,,"Dog,Food,Wet Food",1.2% max,33,"turkey, turkey broth, turkey liver, peas, turkey meal, chickpeas, suncured alfalfa meal, carrots, agar-agar, salt, potassium chloride, dicalcium phosphate, choline chloride, cranberries, blueberries, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, sodium selenite, calcium iodate), vitamins (vitamin e supplement, thiamine mononitrate, niacin supplement, calcium pantothenate, biotin, vitamin a supplement, riboflavin supplement, vitamin b12 supplement, pyridoxine hydrochloride, vitamin d3 supplement, folic acid).",80248,78.0% max,united states,"
                        $35.88",wet food,,5.0% min,"all breeds, small breeds, medium breeds, large breeds","no corn no wheat no soy, low glycemic, limited ingredient diet, grain-free, gluten free","<li>grain-free and limited ingredient formula</li>,<li>made with farm-raised turkey from the american midwest</li>,<li>natural source of prey in the wild, turkey is an exceptional source of complete protein that’s low in saturated fat, rich in selenium, and a good source of riboflavin and phosphorus</li>,<li>free of the most common potential canine allergens: corn, wheat, soy, dairy, and chicken</li>,<li>nutritionally correct ratio of fruits and vegetables rounds out the recipe with powerful antioxidants, and fiber-rich low glycemic carbohydrates</li>","zignature turkey limited ingredient formula grain-free canned dog food,13-oz,case of 12",By Zignature,pate
4.5,"
                        $20.28",,adult,7.0% min,"1,445 kcal/kg, 123 kcal/bowl",,"Dog,Food,Wet Food",1.5% max,21,"lamb, lamb broth, potatoes, flaxseed (source of omega 3 and 6 fatty acids), pea protein, sunflower oil(source of omega 6 fatty acids), guar gum, fish oil (source of omega 3 fatty acids), pumpkin, carrageenan,cassia gum, potassium chloride, salt, cranberries, blueberries, mixed tocopherols, choline chloride, zincamino acid chelate, iron amino acid chelate, vitamin e supplement, l-ascorbyl-2-polyphosphate (sourceof vitamin c), copper amino acid chelate, manganese amino acid chelate, sodium selenite, thiaminemononitrate (vitamin b1), cobalt amino acid chelate, niacin supplement (vitamin b3), calcium pantothenate(vitamin b5), vitamin a supplement, riboflavin supplement (vitamin b2), biotin (vitamin b7), vitamin b12supplement, potassium iodide, pyridoxine hydrochloride (vitamin b6), vitamin d3 supplement, folic acid(vitamin b9).",88195,78.0% max,united states,"
                        $16.99",wet food,blue basics,7.0% min,"extra small & toy breeds, small breeds","sensitive digestion, limited ingredient diet, grain-free, no corn no wheat no soy","<li>includes lamb, a high-quality protein not typically used in dog food and potatoes, an easily digestible carbohydrate source</li>,<li>a precise blend of veggies, fruit and micronutrients - these ingredients were selected for their nutritional value and their capacity to help in the digestive process</li>,<li>an optimal blend of omega 3 &amp; 6 fatty acids helps maintain the immune system and support skin and coat health</li>,<li>no corn, wheat, soy, dairy or eggs - ingredients known to cause allergies in some dogs</li>,<li>no grains, gluten, chicken (or poultry) by-product meals or artificial ingredients of any kind</li>","blue buffalo basics limited ingredient grain-free lamb & potato small breed adult wet dog food,3-oz,case of 12",By Blue Buffalo,pate
4.8,,,adult,8.0% min,"1,109 kcal/kg, 394 kcal/can",,"Dog,Food,Wet Food",1.0% max,25,"chicken broth, chicken, turkey, beef, cod, beef liver, ground rice, rice bran, lamb, guar gum, brewers dried yeast, potassium chloride, salt, sodium ascorbate (source of vitamin c), calcium carbonate, carrageenan, ferrous sulfate, choline chloride, vitamin e supplement, zinc oxide, copper proteinate, manganese sulfate, sodium selenite, thiamine mononitrate, biotin, vitamin a supplement, potassium iodide, vitamin d3 supplement, vitamin b12 supplement, riboflavin supplement.",51655,78.0% max,united states,"
                        $18.98",wet food,nutro,6.5% min,"all breeds, small breeds, medium breeds, large breeds",,"<li>real chicken is this first ingredient in this delicious, ground food, along with turkey, beef, cod, beef liver and lamb.</li>,<li>high-quality, natural ingredients are processed in nutro’s own us facilities and can be traced back to their source.</li>,<li>added vitamins, minerals and trace nutrients deliver complete and balanced nutrition for your adult dog.</li>,<li>made with no ground corn, sorghum or rye, no by-product meals, and no artificial colors, flavors or preservatives.</li>,<li>can be served as a complete meal or as a tasty topper over dry kibble to add variety to his diet.</li>","nutro max adult chicken,rice & lamb dinner canned dog food,12.5-oz,case of 12",By Nutro Max,pate
4.6,"
                        $34.68",,"adult, all stages",8.0% min,"204 kcal/6 oz can, 424 kcal/12.5 oz can","12.5-oz, case of 12","Dog,Food,Wet Food",1.0% max,48,"new formulation: turkey, turkey broth, turkey liver, ground barley, sweet potatoes, carrots, ground flaxseed, carrageenan, canola oil, guar gum, potassium chloride, salt, tricalcium phosphate, iron proteinate, zinc proteinate, choline chloride, vitamin e supplement, cobalt proteinate, copper proteinate, manganese proteinate, riboflavin supplement, sodium selenite, thiamine mononitrate, vitamin supplement, vitamin b-12 supplement, potassium iodide, biotin, vitamin d-supplement.",49221,78.0% max,,"
                        $32.99",wet food,wellness complete health,5.0% min,"small breeds, medium breeds, large breeds, all breeds",no corn no wheat no soy,"<li>delicious pate made with quality proteins, including premium turkey</li>,<li>only premium, all natural ingredients with no wheat, corn, soy, meat by-products, artificial flavors, colors or preservatives</li>,<li>b12 vitamin supports gastrointestinal function</li>,<li>uses canola oil for a quality monounsaturated fat</li>,<li>complete and balanced for everyday feeding</li>",wellness complete health turkey & sweet potato formula canned dog food,By Wellness,pate
5,"
                        $30.53",,"adult, all stages",8.0% min,"442 kcal/12.7 oz can, 191 kcal/5.5 oz can","12.7-oz, case of 12","Dog,Food,Wet Food",1.0% max,45,"organic chicken, sufficient water for processing, ocean whitefish, organic brown rice, carrots, oat bran, flaxseed, tricalcium phosphate, dried kelp, guar gum, carrageenan, potassium chloride, minerals (iron amino acid chelate, zinc amino acid chelate, copper amino acid chelate, manganese amino acid chelate, cobalt amino acid chelate, sodium selenite, potassium iodide), salt, vitamins (vitamin e supplement, vitamin a supplement, vitamin b12 supplement, vitamin d3 supplement, thiamine mononitrate, biotin, riboflavin supplement).",48334,78.0% max,united states,"
                        $27.35",wet food,,6.0% min,"all breeds, small breeds, medium breeds, large breeds",organic,"<li>suitable for all life stages </li>,<li>made with natural and organic ingredients</li>,<li>no wheat or corn</li>,<li>no artificial flavors, colors or preservatives</li>,<li>made in the usa</li>",newman's own organics chicken & brown rice formula canned dog food,By Newman's Own Organics,pate
4.8,"
                        $23.88",,senior,7.5% min,"1,036 kcal/kg, 382 kcal/can",,"Dog,Food,Wet Food",1.0% max,59,"chicken, chicken broth, turkey, salmon, chicken liver, duck, whole grain brown rice, white rice, oatmeal, carrots, peas, potatoes, barley, egg, guar gum, flaxseed meal, dried kelp, apples, dried skim milk, cranberries, rosemary extract, parsley, dried chicory root, carrageenan, vitamin a acetate, vitamin d3 supplement, ascorbic acid, niacin supplement, calcium pantothenate, riboflavin supplement, thiamine mononitrate, pyridoxine hydrochloride, vitamin b12 supplement, biotin, folic acid, zinc sulfate, ferrous sulfate, manganese sulfate, copper sulfate, calcium iodate and sodium selenite.",92003,78.0% max,united states,"
                        $17.49",wet food,,4.0% min,"all breeds, small breeds, medium breeds, large breeds",,"<li>formulated to feature premium nutrition so that your dog can stay happy, healthy, and well</li>,<li>slow cooked to lock in all of the natural goodness and flavor without losing any of the nutrients</li>,<li>features antioxidants such as zinc, vitamin e, and selenium to help promote overall health &amp; vigor</li>,<li>antioxidants to promote a healthy immune system and overall health</li>,<li>omega fatty acids help promote a healthy and shiny coat</li>","chicken soup for the soul mature canned dog food,13-oz,case of 12",By Chicken Soup,pate
4.4,,,adult,9.0% min,"828 kcal/kg, 306 kcal can",,"Dog,Food,Wet Food",1.5% max,23,"water sufficient for processing, beef, liver, wheat gluten, chicken, rice, meat by products, corn starch modified, added color, potassium chloride, calcium phosphate, salt, vitamin e supplement, l ascorbyl 2 polyphosphate (source of vitamin c), calcium carbonate, zinc sulfate, choline chloride, ferrous sulfate, niacin, thiamine mononitrate, copper sulfate, calcium pantothenate, manganese sulfate, pyridoxine hydrochloride, vitamin b 12 supplement, riboflavin supplement, vitamin a supplement, folic acid, potassium iodide, vitamin d 3 supplement, biotin, and sodium selenite.",67448,76.0% max,united states,"
                        $18.91",wet food,purina,2.0% min,"large breeds, giant breeds",,"<li>specialized formula contains glucosamine to support overworked joints in large breeds with the perfect protein-to-fat ratio to keep their bodies lean and strong</li>,<li>savory dish made with premium chunks of beef and liver smothered in a yummy gravy provides a taste your dog will love</li>,<li>contains biotin and omega-6 fatty acids for healthy skin and a beautiful shiny coat</li>,<li>highly nutritionally and 100% complete and balanced diet is ideal for dogs over 50 pounds to thrive</li>,<li>proudly manufactured in purina-owned u.s.a facilities and does not contain any added artificial colors, flavors, or preservatives</li>","purina pro plan focus adult large breed beef & rice entree chunks in gravy canned dog food,13-oz,case of 12",By Purina Pro Plan,chunks in gravy
4.8,"
                        $14.77",9.9 pounds,"adult, all stages",10.0% min,"949 kcal/kg, 355 kcal/can",,"Dog,Food,Wet Food",1.5% max,9,"water sufficient for processing, chicken, meat by-products, wheat gluten, beef, soy flour, carrots, potatoes, corn starch-modified, peas, added color, salt, potassium chloride, tricalcium phosphate, choline chloride, zinc sulfate, mono and dicalcium phosphate, vitamin e supplement, ferrous sulfate, niacin, thiamine mononitrate, copper sulfate, calcium pantothenate, manganese sulfate, pyridoxine hydrochloride, vitamin b-12 supplement, riboflavin supplement, vitamin a supplement, folic acid, vitamin d-3 supplement, biotin, potassium iodide, sodium selenite.",100050,80.0% max,united states,"
                        $8.16",wet food,purina,3.0% min,"all breeds, small breeds, medium breeds, large breeds",,"<li>tender slices of meat in gravy, every dog will love!</li>,<li>made with high-quality protein sources</li>,<li>contains 25% more protein than the leading canned competitor’s adult dog food</li>,<li>fortified with 23 vitamins and minerals for overall well-being</li>,<li>100% complete and balanced for adult dogs</li>","alpo  prime cuts stew with beef & vegetables in gravy canned dog food,13.2-oz,case of 12",By ALPO,chunks in gravy
4.9,"
                        $70.71",,"adult, all stages",8.0% min,,,"Dog,Food,Wet Food",1.5% min,25,"vegetable broth, chicken, sweet potatoes, green beans, chicken fat, turkey, modified food starch, tomato paste, tricalcium phosphate, sugar, salt, potassium chloride, vitamins (vitamin e supplement, vitamin b12 supplement, niacin supplement, calcium pantothenate, thiamine mononitrate, vitamin a supplement, biotin supplement, riboflavin supplement, vitamin d3 supplement, pyridoxine hydrochloride, beta-carotene, folic acid), choline chloride, minerals (zinc glycine complex, iron glycine complex, copper glycine complex, manganese glycine complex, sodium selenite, potassium iodide), parsley, natural flavor.",68358,82.0% max,,"
                        $58.10",wet food,,2.5% min,"all breeds, small breeds, medium breeds, large breeds",grain-free,"<li>highly palatable wholesome blend of grain-free ingredients in a savory gravy</li>,<li>made with real animal protein and no animal by-product meals</li>,<li>added vitamins like vitamin a and vitamin b12 help support a healthy immune system</li>,<li>no artificial flavors or preservatives</li>,<li>a 100% complete and balanced diet for dogs of all breeds</li>","nature's recipe grain-free chicken & turkey stew canned dog food,10-oz,case of 24",By Nature's Recipe,stew
4.8,"
                        $29.88",,"adult, all stages",8.0% min,"1,390 kcal/kg, 500 kcal/13 oz can","13-oz, case of 12","Dog,Food,Wet Food",1.5% max,52,"lamb, lamb broth, lamb liver, carrots, oat bran, brown rice, potatoes, dehydrated potatoes, lamb meal, canola oil, dried kelp, sodium chloride, potassium chloride, calcium carbonate, guar gum, choline chloride, natural hickory smoke flavor, carrageenan, zinc sulfate, yucca schidigera extract, ferrous sulfate, parsley, vitamin e supplement, niacin supplement, copper sulfate, manganese sulfate, thiamine mononitrate, ascorbic acid (vitamin c), sodium selenite, calcium pantothenate, pyridoxine hydrochloride (vitamin b6), vitamin a supplement, riboflavin, calcium iodate, folic acid, biotin, vitamin b-12 supplement, vitamin d3 supplement.",48012,78.0% max,united states,"
                        $23.59",wet food,,5.0% min,"small breeds, medium breeds, large breeds, all breeds",,"<li>a complete and balanced formula that’s perfect for all breeds and all ages, from puppies to adults</li>,<li>this unique blend of food is highly digestible allowing for maximum nutrient absorption</li>,<li>made with added vegetables such as dried kelp and carrots</li>,<li>added vitamins like vitamin a and vitamin b12 help support a healthy immune system</li>,<li>yucca schidigera extract aids gastrointestinal system and reduces odor in stool</li>",natural balance ultra premium lamb formula canned dog food,By Natural Balance,pate
5,"
                        $32.23",,"adult, all stages",11.0% min,,,"Dog,Food,Wet Food",1.5% max,25,"chicken, vegetable broth, sweet potato, chicken fat, venison, green beans, modified food starch, tomato paste, tricalcium phosphate, sugar, salt, natural flavor, potassium chloride, vitamins (vitamin e supplement, vitamin b12 supplement, niacin supplement, calcium pantothenate, thiamine mononitrate, vitamin a supplement, biotin supplement, riboflavin supplement, vitamin d3 supplement, pyridoxine hydrochloride, beta-carotene, folic acid), minerals (zinc glycine complex, iron glycine complex, copper glycine complex, manganese glycine complex, sodium selenite, potassium iodide), choline chloride, parsley.",63838,82.0% max,,"
                        $30.90",wet food,,2.0% min,"all breeds, small breeds, medium breeds, large breeds",grain-free,"<li>highly palatable wholesome blend of grain-free ingredients in a savory broth</li>,<li>made with real animal protein and no animal by-product meals</li>,<li>added vitamins like vitamin a and vitamin b12 help support a healthy immune system</li>,<li>no artificial flavors or preservatives</li>,<li>a 100% complete and balanced diet for dogs of all breeds</li>","nature's recipe grain-free chicken & venison recipe in broth wet dog food,2.75-oz,case of 24",By Nature's Recipe,bits in broth
4.6,"
                        $30.76",,"adult, all stages",8.0% min,"933 kcal/kg, 211 kcal/8 oz tub",,"Dog,Food,Wet Food",2.0% max,49,"chicken broth, chicken, dried egg product, pea protein, tapioca, salt, potatoes, carrots, pumpkins, green peas, apples, natural flavors, calcium sulfate, guar gum, potassium chloride, choline chloride, vitamin e supplement, ferrous sulfate, zinc oxide, magnesium oxide, vitamin b12 supplement, copper proteinate, vitamin a supplement, manganese proteinate, niacin, calcium pantothenate, thiamine mononitrate, sodium selenite, biotin, riboflavin supplement, vitamin d3 supplement, pyridoxine hydrochloride, potassium iodide, beta-carotene, folic acid.",52814,82.0% max,,"
                        $18.32",wet food,,4.0% min,"all breeds, small breeds, medium breeds, large breeds",grain-free,"<li>this grain-free dinner consists of wholesome vegetables and fruits like carrots, green peas and apples</li>,<li>this recipe also includes nutrient-rich potatoes as an exceptional source of vitamins and minerals, which help maintain your dog’s immune system</li>,<li>optimal holistic nutrition focused on providing the best ingredients</li>,<li>a great taste that your dog will love</li>,<li>suitable for all life stages from puppies to adult</li>","earthborn holistic chip's chicken casserole grain-free natural moist dog food,8-oz,case of 8",By Earthborn Holistic,shredded
4.9,"
                        $29.88",9.4 pounds,adult,7.0% min,"1,285 kcal/kg, 456 kcal/can",,"Dog,Food,Wet Food",1.0% max,18,"lamb, whole potatoes, water sufficient for processing, lamb liver, dried potatoes, sunflower oil (preserved with mixed tocopherols),potato protein, carrageenan, guar gum, calcium carbonate, potassium chloride, brewers dried yeast, ferrous sulfate, l-ascorbyl-2-polyphosphate (source of vitamin c), choline chloride, zinc oxide, vitamin e supplement, thiamine mononitrate, magnesium sulfate, dl-methionine, copper proteinate, manganese sulfate, sodium selenite, potassium iodide, biotin, vitamin a supplement, vitamin d3 supplement, vitamin b12 supplement, , riboflavin supplement (vitamin b2).",86745,78.0% max,united states,"
                        $26.89",wet food,,5.0% min,"all breeds, small breeds, medium breeds, large breeds","grain-free, no corn no wheat no soy, limited ingredient diet","<li>number-one ingredient is great-tasting, real pasture fed lamb which delivers amino acids to build muscle and maintain a healthy metabolism. give your dog all that she needs to thrive and stay healthy.</li>,<li>this product is made without grains, corn gluten meal, wheat or soy protein. because of this there is a less chance of aggravating food sensitivities and allergies.</li>,<li>formulated with optimal levels of omega-6 fatty acid (linoleic acid) and zinc to promote healthy skin and a shiny coat. help keep your pet keep looking great and robust.</li>,<li>made with absolutely no artificial colors, flavors or preservatives. this is a high quality product that is produced in the manufacturer's own facilities to ensure safety and quality.</li>,<li>nutro's dedicated team of experts tailor their formulas to your pet's life stage and health condition. they only use natural ingredients that they directly buy and can trace back to their suppliers.</li>","nutro limited ingredient diet grain-free adult lamb & potato recipe canned dog food,12.5-oz,case of 12",By Nutro,pate
