,benefits
190," evanger's beef dinner is formulated to meet the nutritional levels established by the aafco nutrient profiles for all life stages. this product features a dash of cinnamon, spinach and kale. slow cooked in small batches to ensure integrity. , this product is certified organic by oregon tilth. this ensures that your pet is getting a quality food that is made with all natural ingredients. , not only does this product offer your pet a variety in taste, this gourmet dinner offers the additional nutritional benefits your pet needs. natural vitamins and minerals are blended with the all-natural meats for ultimate nutrition that are completely balanced meals for all life stages, ages, and breeds. , evanger’s cans are packed with natural, raw ingredients in their own natural juices. the ingredients are then cooked entirely inside the sealed can to lock in the nutrients and flavor of each variety. this process assures both wholesome nutrition for long life and good health, plus the great taste your dog and cat will love. naturally the best! , all evanger’s foods are made with premium-quality, highly-palatable and nutritious ingredients that will satisfy even the most finicky eater. with no soy, corn, wheat, artificial ingredients, harmful additives, preservatives or by-products, evanger’s canned meals are a perfect option for pets that have food sensitivities. "
191," royal canin wet formulas are designed around the unique needs of small dogs (up to 22 lb.) from puppyhood through maturity. , whether fed as a complement to dry kibble or as a complete meal, royal canin wet formulas help keep a small dog healthy from the inside out. , formulated to help maintain coat health and healthy skin. this product provides 100% complete and balanced, formulated with the optimal balance between proteins, fats and carbohydrates. , includes omega-6 fatty acids to support a healthy and shiny coat. , exclusive blend of four b vitamins and one amino acid to reinforce the skin barrier and keep the skin hydrated "
192," specially prepared for small dogs with meaty chunks in a savory sauce in single-serving trays.  , real, deboned turkey is the first ingredient with added vitamins and minerals. , inspired by a naturally wild diet, this protein-rich recipe caters to your dog’s inner carnivore. , made in the usa with only real ingredients and never any chicken or poultry by-product meals.  , completely free of corn, wheat or soy or artificial preservatives, colors or flavors. "
193," gourmet variety pack with grilled chicken, turkey, duck, rotisserie chicken, slow cooked chicken, and turkey. , enhanced with essential vitamins and minerals for a complete, balanced diet. , perfect for small to large dogs as complete meals or tasty dry food toppers. , mouth-watering flavors and textures are irresistible even for the pickiest eaters. , convenient single-serve trays with easy peel-away freshness seals to make mealtime easy. "
194," this finely chopped, savory blend is full of real ingredients you can see, like chicken and veggies served with a touch of sauce , made to break apart easily, so even the tiniest pups and even senior dogs can enjoy this scrumptious meal without trouble , features a delicate taste and a delightful texture even the pickiest of dogs will love! , fortified with vitamins and minerals for overall wellness , it’s all packed into a convenient tub that you can use to store uneaten portions for tomorrow’s dinner "
195," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in sauce formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious ham and egg flavor for dogs with refined tastes at any time of day "
196," large, satisfying cuts of real organic free-range chicken, turkey and vegetables , usda certified organic formula includes minimally processed fruits and vegetables that provide a source of antioxidants and vitamins , omega 3 and 6 fatty acids contribute to healthy skin and luxurious coat, and calcium and phosphorus ratio helps support healthy bones and teeth , hand crafted in small batches with fruits, vegetables and grains provide soluble fiber to help maintain a healthy digestive system , made in a certified organic kitchen without corn, wheat, soy, artificial colors or preservatives with probiotics to support digestion "
197," feline and canine recovery rs is a highly digestible, palatable, complete and balanced cat and dog food formulated for nutritional support for cats and dogs recovering from an illness, surgery or trauma , special texture is specifically designed for tube feeding , features exceptional palatability to stimulate the appetite of recovering pets , contains a synergistic antioxidant complex to help support natural defenses , high energy density utilizing dietary fat to improve palatability and reduce feeding volumes in inappetent pets "
198," promotes healthy skin and a soft, shiny coat to keep your pet looking and feeling robust. , natural dog food offers complete nutrition that is rich in nutrients and full of flavor. , specially crafted to help support healthy digestion so to promote optimal nutrient absorption. , natural ingredients are carefully sourced from their trusted network of farmers and suppliers. , made in the usa with no chicken by-product meal, soy or artificial flavors or preservatives. "
199," high quality protein from chicken for building strong muscle and just the right amount of complex carbohydrates from brown rice to keep your puppy playing all day long , easily digestible formula with prebiotic fiber to maintain intestinal balance and to promote digestive health , omega-6 fatty acids are included for healthy skin and a beautiful shiny coat , dha improves cognitive development and added calcium strengthens teeth and bones throughout the aging process of your puppy , proudly manufactured in purina-owned u.s.a facilities and does not contain any added artificial colors, flavors, or preservatives "
200," evanger's duck &amp; sweet potato dinner is formulated to meet the nutritional levels established by the aafco nutrient profiles for all life stages. , this product is certified organic by oregon tilth. this ensures that your pet is getting a quality food that is made with all natural ingredients. , not only does this product offer your pet a variety in taste, this gourmet dinner offers the additional nutritional benefits your pet needs. natural vitamins and minerals are blended with the all-natural meats for ultimate nutrition that are completely balanced meals for all life stages, ages, and breeds. , evanger’s cans are packed with natural, raw ingredients in their own natural juices. the ingredients are then cooked entirely inside the sealed can to lock in the nutrients and flavor of each variety. this process assures both wholesome nutrition for long life and good health, plus the great taste your dog and cat will love. naturally the best! , all evanger’s foods are made with premium-quality, highly-palatable and nutritious ingredients that will satisfy even the most finicky eater. with no soy, corn, wheat, artificial ingredients, harmful additives, preservatives or by-products, evanger’s canned meals are a perfect option for pets that have food sensitivities. "
201," tender slices of meat in gravy, every dog will love! , made with high-quality protein sources , contains 25% more protein than the leading canned competitor’s adult dog food , fortified with 23 vitamins and minerals for overall well-being , 100% complete and balanced for adult dogs "
202," unique, 2.8 oz bpa-free pouch is perfect for small dogs, picky dogs or dogs who need a little less than standard. this delicious recipe features fresh, high-quality chicken breast and turkey in a savory au jus , all of weruva's dogs in the kitchen formulas focus on high quality protein and moderate fat for a nutritious meal your pup is sure to love , recipe contains no grains, starch, msg, gluten or carrageenan so it's ideal for any pups with sensitive tummies or allergies , contains added vitamins and minerals to make this delicious food a complete and balanced diet , suitable for all life stages, can be served as a standalone diet or as a yummy topper for dry food "
203," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in sauce formulated for senior dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious chicken flavor for dogs with refined tastes at any time of day "
204," tasty and natural grain-free variety pack is packed with protein and comes in easy-to-serve trays.  , real, deboned duck or chicken is the first ingredient with added vitamins and minerals. , inspired by the diet of wolves, who are true omnivores with legendary endurance.  , made in the usa with only real ingredients and never any chicken or poultry by-product meals.  , great for allergies with no grains, corn, wheat or soy or artificial preservatives, colors or flavors. "
205," real beef and barley in a savory gravy provides a taste your dog will love! , formulated with select, high-quality, natural ingredients plus vitamins and minerals , includes two times the recommended antioxidant levels with zinc, selenium, and vitamins a and e , 100% nutritionally complete diet for adult dogs , highly palatable and easily digestible formula promotes a lifetime of good health for your furry friend "
206," grain and gluten-free recipe , first ingredient is 96% usda-inspected deboned duck , no artificial colors, flavors or preservatives , locally sourced farm fresh ingredients to ensure the highest quality , ideal for both adult dogs and puppies "
207," #1 ingredient is real beef , grain-free and gluten-free , no artificial colors, flavors or preservatives , locally sourced farm fresh ingredients to ensure the highest quality , easily digestible, convenient and right-sized portions for small breed dogs. "
208," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in sauce formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious rotisserie chicken flavor for dogs with refined tastes at any time of day "
209," highly versatile - can be used as a complete and balanced meal, a protein supplement to dry food, as a treat, training tool, or as an aid for administering medications. , suitable for all life stages and made from 50% fresh, high quality meat. there's added vitamins and minerals making it complete and balanced nutrition. , there's no corn, soy, or beet pulp, so it's great for pet parents concerned with allergies, obesity, or digestibility. , this single protein formula is 93% digestible so your pup can use all the goodness fed to him. , made in the usa! "
210," specially prepared for small dogs with meaty chunks in a savory sauce in single-serving trays.  , real, deboned chicken is the first ingredient with added vitamins and minerals. , inspired by a naturally wild diet, this protein-rich recipe caters to your dog’s inner carnivore. , made in the usa with only real ingredients and never any chicken or poultry by-product meals.  , completely free of corn, wheat or soy or artificial preservatives, colors or flavors. "
211," wholesome natural ingredients like peas and carrots , chelated minerals boost the immune system and biotin keeps the skin and coat healthy , made without wheat, a common allergy trigger for dogs, great for dogs with sensitive digestive systems , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete , vitamin b12 boosts energy and improves gastrointestinal function "
212," pate formula fortified with vitamins and minerals. , delicious grilled chicken and top sirloin flavor. , comes with 12 convenient trays with easy, peel-away freshness seals. , high-quality cuisine that provides unparalleled variety and enjoyment. , provides complete and balanced nutrition for adult dogs of all sizes, especially smaller breeds. "
213," specially formulated to naturally meet the unique needs of small breed dogs , delicious mini-filets using quality ingredients like tender turkey, green beans &amp; white sweet potatoes in gravy , contains only premium, all natural ingredients with no wheat, meat by-products, soy or artificial colors and flavors , convenient, easy-open, ready-to-serve container makes mealtime quick and easy , complete and balanced for everyday feeding "
214," formulated for dogs with food sensitives with one animal protein source and no grain or gluten.  ,  contains the fewest, most essential, easily digestible ingredients.  ,  includes healthy omega-3 and omega 6 fatty acids for a soft and shiny coat.  ,  delicious loaf is formulated to be a complete and balanced diet for all breeds and life stages, including puppy, adult and senior.  ,  made in usa facilities with no grain, gluten, potato, dairy, eggs, chicken, beef or fish.  "
215," formulated to mirror your dog’s ancestral diet with 95% beef and liver, plus 5% vegetables, fruits, and wholesome ingredients, and 0% grain and gluten.  ,  natural ingredients with added vitamins and minerals provide complete and balanced nutrition for all life stages and breeds.  ,  includes healthy omega fatty acids to promote a soft and shiny skin and coat.  ,  delicious loaf texture comes in a variety of proteins that can be rotated to bring your dog great-tasting variety at the bowl.  ,  made in usa facilities with no grain, gluten, corn, wheat, soy or fillers or artificial colors, flavors or preservatives.  "
216," chicken is the first ingredient in this dog food , grain-free stew recipe includes fresh cut vegetables , provides the meaty nutrition your dog needs every day , essential vitamins and minerals for complete nutrition , complete and balanced nutrition for dogs of all life stages "
217," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in a pate formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious grilled chicken flavor for dogs with refined tastes at any time of day "
218," wholesome natural ingredients like peas, carrots and potatoes , chelated minerals boost the immune system and biotin keeps the skin and coat healthy , made without wheat, a common allergy trigger for dogs, great for dogs with sensitive digestive systems , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete , vitamin b12 boosts energy "
219," the best, healthy ingredients from the earth, mixed into a delicious daily meal , protein rich chicken, blueberries, flavorful rosemary, sage and thyme are just a few of the nutritious ingredients , cooked in america with the earth's best ingredients , no corn, wheat or soy , no ingredients from china "
220," packed with super premium salmon , grain-free formula ideal for pets with allergies , the perfect way to add variety and excitement to dry food , no meat by-products, wheat, corn, soy, artificial preservatives, colors, or flavors , made to be mixed with dry dog food or used as a topper "
221," a grain-free formula that's suitable for all life stages , first and primary ingredient is a single source of organic protein , this formula is high palatable and digestible , no artificial flavors, colors, preservatives, corn or wheat , certified by oregon tilth for a wholesome meal any pup would enjoy "
222," increased calories are great for dogs recovering from illness or injury who need to gain back lost weight , usda certified organic formula includes minimally processed fruits and vegetables that provide a source of antioxidants and vitamins , organic flaxseed to deliver omega 3 and 6 fatty acids contribute to healthy skin and luxurious coat , hand crafted in small batches with fruits, vegetables and grains provide soluble fiber to help maintain a healthy digestive system , made in a certified organic kitchen without corn, wheat, soy, artificial colors or preservatives with probiotics to support digestion "
223," using ingredients that are highly digestible, low in fat and enriched with prebiotic fiber, this canned dog food can help manage stress and improve digestion , developed with rice, vegetable and chicken stew to help manage stress and improves digestion , promotes beneficial microflora and soothes digestive tract , highly digestible and low in fat with added ginger and enriched with prebiotic fiber , contains high levels of omega-3 fatty acids and clinically proven antioxidants support immune system health "
224," start with real deboned meat as the first ingredient for a single source of animal protein , provides important amino acids, vitamins &amp; minerals , no grains, corn or soy – ingredients like grains and gluten have been left out of merrick’s new recipes , supports healthy skin &amp; coat thanks to powerful levels of omega 6 &amp; omega 3 fatty acids , proudly made in merrick’s texas facility using the world’s best locally-sourced ingredients from farmers they know and trust. "
225," this finely chopped, savory blend is full of real ingredients you can see, like beef and veggies served with a touch of sauce , made to break apart easily, so even the tiniest pups and even senior dogs can enjoy this scrumptious meal without trouble , features a delicate taste and a delightful texture even the pickiest of dogs will love! , fortified with vitamins and minerals for overall wellness , it’s all packed into a convenient tub that you can use to store uneaten portions for tomorrow’s dinner "
226," easy open cans featuring a natural, grain-free recipe for dogs and cats featuring a single source protein from high quality salmon , contains no corn, wheat, soy, preservatives or fillers , intended for intermittent or supplemental feeding only. great for protein rotation and as a topper for evanger's dry food diets , endorsed by the crc kosher for passover , made in the usa! "
227," this meaty chunk, savory blend is full of real ingredients you can see, like chicken and veggies served with a touch of sauce , made to break apart easily, so even the tiniest pups and even senior dogs can enjoy this scrumptious meal without trouble , features a delicate taste and a delightful texture even the pickiest of dogs will love! , fortified with vitamins and minerals for overall wellness , it’s all packed into a convenient tub that you can use to store uneaten portions for tomorrow’s dinner "
228," grain-free and multi-protein formula , zssential’s multi-source protein recipe is made from turkey and turkey meal from the american midwest, salmon from the northwest, duck meal from france, and lamb meal from new zealand , zssential is exceptionally high in protein, low in saturated fat, and is loaded with heart-friendly essential omega-3 fatty acids, vitamin b12 and selenium, while being a good source of riboflavin, thiamin, niacin and phosphorus , nutritionally correct ratio of fruits and vegetables rounds out the recipe with powerful antioxidants, and fiber-rich low glycemic carbohydrates , free of the most common potential canine allergens: corn, wheat, soy, dairy, and chicken "
229," made especially for less active dogs to help them achieve a healthy weight. , balanced recipe provides complete nutrition and is highly digestible for easy nutrient absorption. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , soft texture adds flavor and variety to dog’s diets, for satisfying nutrition without the extra calories. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
230," three lean animal proteins from farm-raised chicken, pasture-fed lamb and salmon provide unique and complementary amino acids that work together to promote strong, lean muscles. precisely formulated with targeted levels of protein and fat to support the high energy levels of large breed puppies. whole grains are nutrient-dense foods that nourish a healthy digestive system for proper nutrient absorption. , premium natural diet made for senior dogs which contains just the right amount of protein, fat and carbohydrates. this product is also formulated to promote joint health while also helping maintain a lustrous coat and healthy skin. , this is a specially made natural diet made for senior dogs. naturally sourced glucosamine and chondroitin, the nutritional building blocks of healthy cartilage, helps keep joints healthy. the right fiber balance from whole ingredients promotes an ideal digestive environment to help absorb available nutrients. , made with absolutely no artificial colors, flavors or preservatives. this is a high quality product that is produced in the manufacturer's own facilities to ensure safety and quality. , nutro's dedicated team of experts tailor their formulas to your pet's life stage and health condition. they only use natural ingredients that they directly buy and can trace back to their suppliers. "
231," variety pack features a hearty chopped texture with an irresistible choice of flavors. , balanced recipe provides complete nutrition and is highly digestible for easy nutrient absorption. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , soft texture adds flavor and variety to dog’s diets. serve it alone or mix it with kibble. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
232," wholesome natural ingredients like peas, carrots, blueberries and cranberries , chelated minerals boost the immune system and biotin keeps the skin and coat healthy , made without wheat, a common allergy trigger for dogs, great for dogs with sensitive digestive systems , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete , vitamin b12 boosts energy and improves gastrointestinal function "
233," grain-free and limited ingredient formula , made with trout and salmon from the cold waters of the northwestern usa , trout provides a high-quality source of complete protein loaded with essential heart-friendly omega-3 fatty acids, is rich in vitamin b12, and provides niacin, b6, phosphorus and selenium , free of the most common potential canine allergens: corn, wheat, soy, dairy, and chicken , nutritionally correct ratio of fruits and vegetables rounds out the recipe with powerful antioxidants, and fiber-rich low glycemic carbohydrates "
234," this finely chopped, savory blend is full of real ingredients you can see, like chicken, liver, peas, brown rice and sweet potatoes served with a touch of sauce , made to break apart easily, so even the tiniest pups and even senior dogs can enjoy this scrumptious meal without trouble , features a delicate taste and a delightful texture even the pickiest of dogs will love! , fortified with vitamins and minerals for overall wellness , it’s all packed into a convenient tub that you can use to store uneaten portions for tomorrow’s dinner "
235," wholesome natural ingredients like peas, carrots, and dried egg , chelated minerals boost the immune system and biotin keeps the skin and coat healthy , made without wheat, a common allergy trigger for dogs, great for dogs with sensitive digestive systems , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete , vitamin b12 boosts energy and improves gastrointestinal function "
236," highly digestible single intact animal protein source and single carbohydrate source to help avoid common food sensitivities , high levels of omega-6 and omega-3 fatty acids that help nourish the skin and coat , combination of clinically proven antioxidants helps maintain a healthy immune system and skin barrier function , four different novel protein sources to provide more choices in managing food sensitivity , helps improve digestion and stool quality with visible improvements in the skin and coat "
237," natural food with added vitamins and minerals providing your pup with complete and balanced nutrition , made with tasty chunks of duck mixed with green beans, carrots and brown rice, which make for a great-tasting stew , there's no glutens, corn, wheat, or soy, so it's great for pet parents who are concerned with allergies, obesity, or digestibility , there's no meat by-products or fillers, so you can be confident in feeding your loved one , there also aren't artificial flavors, colors, or preservatives, just simple natural ingredients "
238," highly palatable and packed with protein and flavor dogs crave with no added bha, bht or ethoxyquin , simply grate, chop or crumple over food to entice the pickiest of eaters or cut into small pieces to enhance your pup’s focus for training , formulated without corn, soy, wheat, artificial flavors or colors , made with sweet potatoes to aid in good digestive health , added vitamins and minerals like vitamin a and vitamin b12 help support a healthy immune system "
239," the ultimate variety pack includes two classic ground recipes made with either real beef or real chicken with brown rice and oatmeal for a taste your dog will love! , formulated with select, high-quality, natural ingredients plus vitamins and minerals , includes two times the recommended antioxidant levels with zinc, selenium, and vitamins a and e , 100% nutritionally complete diet for adult dogs , highly palatable and easily digestible formula promotes a lifetime of good health for your furry friend "
240," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in sauce formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious chicken and vegetables flavors for dogs with refined tastes at any time of day "
241," clinical nutrition especially formulated to support your dog's heart health , this formula is designed to help maintain normal blood pressure and minimize fluid retention , helps replenish lost nutrients for dogs receiving diuretics , protects vital kidney function while supporting a healthy immune system with clinically proven antioxidants , formulated with low sodium, high levels of l-carnitine and taurine, and appropriate levels of protein and phosphorus "
242," three lean animal proteins from farm-raised chicken, pasture-fed lamb and salmon provide unique and complementary amino acids that work together to promote strong, lean muscles. precisely formulated with targeted levels of protein and fat to support the high energy levels of large breed puppies. whole grains are nutrient-dense foods that nourish a healthy digestive system for proper nutrient absorption. , premium natural diet made for small breeds which contains just the right amount of protein, fat and carbohydrates. this product is also formulated to promotes a lustrous coat and healthy skin. , packed with antioxidants to help maintain a strong immune system, a healthy heart and sharp mind. sunflower oil is rich in linoleic acid to help your dog have a healthy skin and shiny coat. taurine provides added health benefits for dogs as a natural antioxidant as well as for healthy eyesight and hearing. , made with absolutely no artificial colors, flavors or preservatives. this is a high quality product that is produced in the manufacturer's own facilities to ensure safety and quality. , nutro's dedicated team of experts tailor their formulas to your pet's life stage and health condition. they only use natural ingredients that they directly buy and can trace back to their suppliers. "
243," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in sauce formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious scrambled egg and sausage flavor for dogs with refined tastes at any time of day "
244," real chicken is this first ingredient in this delicious, ground food, along with turkey, beef, chicken liver, cod, beef liver and lamb. , high-quality, natural ingredients are processed in nutro’s own us facilities and can be traced back to their source. , added vitamins, minerals and trace nutrients deliver complete and balanced nutrition for your new best friend. , made with no ground corn, sorghum or rye, no by-product meals, and no artificial colors, flavors or preservatives. , can be served as a complete meal or as a tasty topper over dry kibble to add variety to her diet. "
245," just for small dogs with tender bites of chicken, plus real bacon, cheese and eggs in single-serving trays.  , real, deboned meat is the first ingredient with added vitamins and minerals. jump start the day!  , inspired by a naturally wild diet, this protein-rich recipe caters to your dog’s inner carnivore. , made in the usa with only real ingredients and never any chicken or poultry by-product meals.  , completely free of corn, wheat or soy or artificial preservatives, colors or flavors. "
246," this finely chopped, savory blend is full of real ingredients you can see, like turkey, sweet potatoes, brown rice and spinach served with a touch of sauce , made to break apart easily, so even the tiniest pups and even senior dogs can enjoy this scrumptious meal without trouble , features a delicate taste and a delightful texture even the pickiest of dogs will love! , fortified with vitamins and minerals for overall wellness , it’s all packed into a convenient tub that you can use to store uneaten portions for tomorrow’s dinner "
247," grain-free stew recipe includes fresh cut vegetables , delicious aroma, texture and taste , made with real rabbit, an exotic protein , modeled after the ancestral canine diet , provides the meaty nutrition your dog needs every day "
248," a delicious supplemental recipe containing 98% all natural, premium deboned chicken. perfect as a kibble topper! , gluten-free, with no rendered animal fats or by-products, no added sugar, no carrageenan, and no corn, wheat, or soy , super palatable: your pup will go crazy for the taste and texture of this smooth, meaty pate , provides essential moisture to prevent dehydration and help maintain proper urinary tract health , convenient, easy to open pull-tab can makes meal time quick and easy "
249," complete and balanced for everyday feeding , delicious pate made with premium venison , venison is a unique protein source for dogs, eliminating many digestive problems and food-related allergies , b12 supplement assists gastrointestinal function , canola oil is a quality monounsaturated fat "
250," complete and balanced for everyday feeding , grain and gluten-free formula , fish and flax omega blend for healthy skin and coat , includes greens and botanicals for healthy digestion , contains only premium, all natural ingredients with no wheat, corn, soy, meat by-products, or artificial colors, flavors and preservatives "
251," number-one ingredient is great-tasting, u.s.-farm-raised turkey which delivers amino acids to build muscle and maintain a healthy metabolism. give your dog all that she needs to thrive and stay healthy. , this product is made without grains, corn gluten meal, wheat or soy protein. because of this there is a less chance of aggravating food sensitivities and allergies. , formulated with optimal levels of omega-6 fatty acid (linoleic acid) and zinc to promote healthy skin and a shiny coat. help keep your pet keep looking great and robust. , made with absolutely no artificial colors, flavors or preservatives. this is a high quality product that is produced in the manufacturer's own facilities to ensure safety and quality. , nutro's dedicated team of experts tailor their formulas to your pet's life stage and health condition. they only use natural ingredients that they directly buy and can trace back to their suppliers. "
252," a hearty dinner that captures the spirit of the open prairies where wolves roamed freely , made with generous chunks of duck your dog craves steeped in a savory gravy for an irresistible flavor. , no chicken (or poultry) by-product meals, corn, wheat, soy, artificial colors, flavors or preservatives , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete , made without any grain, a common allergy trigger for dogs "
253," cranberries offer prevention from bacteria and acid urine , carrageenan combats canine colds and oatmeal is a quality source of fiber not commonly found in canned dog food , chelated minerals boost the immune system and biotin keeps the skin and coat healthy , excellent source of omega 3 and omega 6 fatty acids , chelated minerals boost the immune system and biotin keeps the skin and coat healthy "
254," three lean animal proteins from farm-raised chicken, pasture-fed lamb and salmon provide unique and complementary amino acids that work together to promote strong, lean muscles. precisely formulated with targeted levels of protein and fat to support the high energy levels of large breed puppies. whole grains are nutrient-dense foods that nourish a healthy digestive system for proper nutrient absorption. , precisely formulated with targeted levels of protein and fat to support the high energy levels of growing puppies. whole grains are nutrient-dense foods that nourish a healthy digestive system for proper nutrient absorption , rich in dha from salmon and egg to support brain and cognitive development. made with optimal calcium levels to build strong teeth and bones. , made with absolutely no artificial colors, flavors or preservatives. this is a high quality product that is produced in the manufacturer's own facilities to ensure safety and quality. , nutro's dedicated team of experts tailor their formulas to your pet's life stage and health condition. they only use natural ingredients that they directly buy and can trace back to their suppliers. "
255," inspired by delicious chicken pot pie , grain free recipe features deboned chicken as the first ingredient , no artificial colors, flavors or preservatives , balanced nutrition in every can of dog food , ingredients include red new potatoes, carrots, peas and red delicious apples "
256," specifically formulated for growing puppies up to 22 pounds and 10 months old. a complete and balanced meal by itself or a great kibble addition. , it provides the nutrition to support your puppies growth and development, and their high energy levels. , vitamins, c, e, lutein and taurine support your puppies developing immune system. , highly digestible proteins, beet pulp, and fish oil work in tandem to support a developing digestive tract. , made in the usa! "
257," vet formulated for all ages, breeds and sizes, and especially for less active overweight and senior dogs. , made with nutritionally dense chicken, lamb and fish for optimum protein. , premium ingredients plus added vitamins and minerals make for great-tasting nutrition. , simmered in a broth for an irresistible flavor that dogs love. , made with uncompromised quality by the family-owned company without corn, wheat or soy. "
258," combines the delicious flavors of braised beef and tender vegetables in a succulent stew , made without artificial flavors or preservatives , this wholesome recipe provides your dog with the perfect balance of taste and nutrition , vitamins and minerals are added for optimal health benefits , good for adult dogs 7+ years of age "
259," a tasty all natural grain-free formula that's made in the usa , free from preservatives, salt, fillers, corn and soy for wholesome nutrients , contains added chelated trace minerals and vitamins for optimal health , this mouthwatering formula is a complete and balanced diet for all life stages , helps to build a dog's immunity with natural antioxidants and protection against environmental stress "
260," grain-free and limited ingredient formula , made with farm-raised duck from western france, duck provides a flavorful source of complete protein that is often well tolerated by pets with food sensitivities , it’s high in essential omega-3 fatty acids, iron, phosphorus, zinc and selenium, while low in sodium , free of the most common potential canine allergens: corn, wheat, soy, dairy, and chicken , nutritionally correct ratio of fruits and vegetables rounds out the recipe with powerful antioxidants, and fiber-rich low glycemic carbohydrates "
261," improving your dog's mobility can be as easy as feeding the right nutrition , help improve your dog's ability to run, walk and jump in as little as 21 days with a clinically proven combination of nutrients , an excellent source of the omega 3 fatty acid, epa, to nourish cartilage , controlled calorie content and added l-carnitine help maintain a healthy weight and avoid extra stress on joints , enriched with glucosamine and chondroitin sulfate and controlled calories and added l-carnitine for a healthy and highly palatable formula your dog will love "
262," this formula is perfect for small and x-small breed that tend to gain weight. it's also the perfect compliment to royal canin x-small and mini dry formulas. , included l-carnitine helps the body to burn fat by converting fatty acids in energy and promoting lean muscle mass. , balanced ratios of protein and fat provide complete nutrition to your pup and helps to keep them at their healthiest weight. , ideal for small and x-small breeds that weight up to 22 pounds and are over 10 months of age. , made in the usa! "
263," made in the united states with 100% of the nutrients your dog needs to support an active lifestyle. , crafted precisely to meet the needs of small and toy breeds such as chihuahuas and pomeranians. , each mouth-watering mighty dog recipe is crafted without the use of artificial preservatives. , features a full range of amino acids, vitamins and minerals to meet a small dog’s unique nutritional needs. , includes a variety of delicious and tempting flavors in each pack to keep picky dogs from becoming bored. "
264," grain-free and limited ingredient formula , made with farm-raised turkey from the american midwest , natural source of prey in the wild, turkey is an exceptional source of complete protein that’s low in saturated fat, rich in selenium, and a good source of riboflavin and phosphorus , free of the most common potential canine allergens: corn, wheat, soy, dairy, and chicken , nutritionally correct ratio of fruits and vegetables rounds out the recipe with powerful antioxidants, and fiber-rich low glycemic carbohydrates "
265," includes lamb, a high-quality protein not typically used in dog food and potatoes, an easily digestible carbohydrate source , a precise blend of veggies, fruit and micronutrients - these ingredients were selected for their nutritional value and their capacity to help in the digestive process , an optimal blend of omega 3 &amp; 6 fatty acids helps maintain the immune system and support skin and coat health , no corn, wheat, soy, dairy or eggs - ingredients known to cause allergies in some dogs , no grains, gluten, chicken (or poultry) by-product meals or artificial ingredients of any kind "
266," real chicken is this first ingredient in this delicious, ground food, along with turkey, beef, cod, beef liver and lamb. , high-quality, natural ingredients are processed in nutro’s own us facilities and can be traced back to their source. , added vitamins, minerals and trace nutrients deliver complete and balanced nutrition for your adult dog. , made with no ground corn, sorghum or rye, no by-product meals, and no artificial colors, flavors or preservatives. , can be served as a complete meal or as a tasty topper over dry kibble to add variety to his diet. "
267," delicious pate made with quality proteins, including premium turkey , only premium, all natural ingredients with no wheat, corn, soy, meat by-products, artificial flavors, colors or preservatives , b12 vitamin supports gastrointestinal function , uses canola oil for a quality monounsaturated fat , complete and balanced for everyday feeding "
268," suitable for all life stages  , made with natural and organic ingredients , no wheat or corn , no artificial flavors, colors or preservatives , made in the usa "
269," formulated to feature premium nutrition so that your dog can stay happy, healthy, and well , slow cooked to lock in all of the natural goodness and flavor without losing any of the nutrients , features antioxidants such as zinc, vitamin e, and selenium to help promote overall health &amp; vigor , antioxidants to promote a healthy immune system and overall health , omega fatty acids help promote a healthy and shiny coat "
