pos_review_title,pos_review_content,itemnumber,neg_review_content,maker,neg_review_title
Good for medication,Our dog loves this flavor. We also have to give our dog medication twice daily. The size of the chunks of turkey makes it easy to hid the pills. Much easier than peanut butter or pockets.,65664,"Not sure yet if I like this product,  so far every single can has been filled with more of the sauce than anything... I should have read more carefully before purchasing ...",By Castor & Pollux,Not sure yet...
The best for my highly food allergic cockapoo,"Evangers is exactly what the can says.
This and Evangers dry kibble (chicken with sweet potato) keeps Oreo healthy and NO MORE bad digestive issues",59998,I liked that there were not many ingredients in this dog food but my dogs really don't like it. They are eating it because they are hungry however my dogs have been pretty spoiled with homemade dog food for quite some time. They are not doing well with the transition into dog food. I will try it for ,By Evanger's,Small list of ingredients
Leila loves it!,"Finally, a winner!  My chihuahua-terrier mix is extremely picky. I mix this wet food with her kibble and she practically inhales it.",50795,Sadly my three small dogs ate the first can and have not touched it since..Very healthy good quality food from an excellent caring company of long standing. Wish that they offered a variety pack of canned food as I would love for them to eat this brand.,By Evanger's,Rejected by my dogs
A Winner for the Little Dog,"My little dog loves this food!  The brauts are approx 1/2 inch balls in a light gravy with other veggies. My senior Rattie has teeth issues, so the chunks are too big for her to manage on her own, but I mash it up and she chows down. I tried a few cans out from the the local pet store to make sure she",47860,"My 12yo Australian shepherd/pit mix is the Mikey of our family. He eats everything. He loved the steak tips flavor so much that I added this to our autoship order, figuring that he might like a little variety. Nope. He refuses to touch it and is currently on a hunger strike until I dump this out of his",By Merrick,Dog who eats everything wouldn't touch this
great great great,"I LOVE THIS FOOD!!!!, real chunks of carrots, peas and potatos, He eats it right up, we mix this .25 to .75 with the chicken soup dry food and his coat is shiny he looks healthy and the vet said he is doing good, since he is a boston he still has gas (it will never go away) but this has definitely helped",91999,"My dogs like it fine, but all the cans are dented.",By Chicken Soup,"Pups like it, but cans are all bent"
Great Limited Ingredient Option for Sensitive Tummies,"The older my dog gets, the more her anxiety takes a toll on her stomach. As a result, I've transitioned her to a limited ingredient option. I supplement the Wellness options with some cooked quinoa (a high-quality grain) and organic turkey and chicken breast. As a result, her digestive issues have gone",51714,"It smelled good, looked good, but my Bulldog/Pit mix wanted nothing to do with it. Her Vet said due to her allergies I should try a different source of protein for her. I'm sure it would be good for others just not my finicky critter . . . .",By Wellness,Picky critter . . .
Cesar gourmet filets,My Dog looks forward to her meals! Thank you for ptompt service and great prices.,47080,My dog is used to eating Cesar Classics Pate. I ordered these for a change. She refuses to eat them.. The meat is cut in thin strips I tried breaking up the strips but found them very tough Won't order again,By Cesar,My dog My refuses to eat them
We love it,"Maggie loves this stuff!  It is great as a topping for her hard food.  Some reviewers seem disappointed by the contents of the can, which I could see, but I was looking for a stew/gravy topping for Maggie's hard food and this is great for us!  The bones are an added treat.  At first I was concerned but",65662,"My dog would not touch this food. I thought it would be like the Merrick Wing-a-Ling, however the bones were huge and they were not soft. I am comfortable feeding Merrick's cooked bones, but these were just too big and not softened appropriately. The gravy did not smell good either.",By Castor & Pollux,My dog would not touch this food!
fabulous product,"every time I have a new foster come in I feed wellness simple and have never had any kind of digestive upsets with the dogs. After they have been here for a week or so I switch to Wellness simple kibble because it is less expensive to feed long term. Every dog I have fostered, young or old, has done ",51715,After eating this food our dachshund had terrible diarrhea. I will not try it again.,By Wellness,CAUSED DIARRHEA
Good quality! Good results!,"I mix half a container with half a cup dry food for my puppy (golden retriever) and she absolutely loves it! It doesn't look like your typical ""compressed cat food"", it has healthy looking chunks of meat and there are peas with a little bit of juices. Made in USA and ingredients are phenomenal. No brainer",102376,"My malt/shi didn't really care for this puppy food. It didn't really have a pleasant smell. However, I have used other merrick wet food and it was fine. Could be just this type.",By Merrick,Didnt like it
My dog loves this,I cut this into bite size pieces and use them as training treats.  I have used them for my last two puppies and I am currently using them for my new puppy.   They have all absolutely loved them.   It is easier to get their attention when I have these treats. Since it is actually dog food it is better,86353,Disappointing because the regular Red Barn beef roll held its shape to slice and cut into small cubes for training purposes while this grain-free version just crumbles and is impossible to cut to cubes.  Loved the regular one but will not order this one again.  Doggy loves it nonetheless!,By Redbarn,Grain-free is way too crumbly
Yummy and Goodness,"My two dogs love the Petites. They both weigh under 25 pounds. I just wish they were a bit bigger. I love the food has vegs (carrots, red peppers give is a sweet smell/taste), but not too much. This really appeals flavor wise to my dogs.",76677,"My chihuahua ate this at first but she seems to prefer the ""casserole type which is smoother. Otherwise I would have given it a higher rating.",By Wellness,Product looks great but not my dogs favorite
Weruva Wok Dog Food,All 5 of my dogs love Weruva Dog Food.  We have tried every flavor and I have not been disappointed.  It looks good enough to eat.  I have tried many different kinds of dog food and this one beats them all.  The quality of the ingredients are what I love the best.,55592,Love the dog food. My order has two slightly damaged cans. It is difficult to get canned dog food shipped to your home without some damage,By Weruva,Great quality dog food. Two dented cans
Carrageenan Free,"This is one of the only CARRAGEENAN free products on the market. Banned in human grade food, it has nearly been banned in pet food multiple times. My pup licks her bowl clean now- she used to eat half of her food and leave the rest to snack on hours later.",54303,"BAD PRODUCT. TRIED THE CANNED BEEF, AND SHE BECAME SICK. WAITED A WEEK, THEN TRIED THE CANNED CHICKEN. MADE HER SICK. SHE DOES WELL ON THE DRY LOGIC
JOAN SWEATT",By Nature's Logic,MADE MY DOG SICK
This food is the best!,"I have a picky eater, but he LOVES this.  The Chihuahua was out of stock so I got Dachshund.  He loved that as well.
My Chewy deliveries get here so quickly.  So much easier than going store to store collecting food, treats, toys...",99665,"My dog likes this food, but the cost is ridicules. And, you can't even get a break buying it by the case, you can only buy a 4-pack. I don't care how good this food is, I will find a comparable food at a more reasonable price. I am only giving it 2 Stars because of the unbelievable price and I don't ",By Royal Canin,EXPENSIVE
our dog loves it,mix it in with buffalo dry food 2x/day for our large doggie,86748,"My puppies didn't like this food too well. The trays smelled more like oatmeal than chicken. It seemed like a nice meal for any dog, but not mine.",By Nutro,Product smelled too much like oatmeal
Good but thick,"Many canned pet foods are dense and sticky like this food. Because I like to use canned food as an appetizer/treat on top of the kibble and to add supplements to, I would prefer something wetter and easier to mix, even out of the fridge. But the pup inhales it.",90386,"My puppy doesn't like it, at all. Plus has problems with gases after he eats it. I really do not recommend it",By Royal Canin,My puppy doesn't like it
Good Stuff,"I bought this for my mini dachshunds based on a review on Dog Food Advisor with 5 star rating.  I am sure this excellent dog food. I am trying different wet food.
This is one.  It may be to much for my dachshunds.  Time will tell.  For sure a bigger dog would have to like it.",66529,"May be a great grain free food, but why will my non picky eaters not eat it. They will go hungry rather than eat it. Will continue to feed Pedigree.",By Dave's Pet Food,Dogs won't eat it.
Meat based food,Meat based canned foods are rarer than I knew.  Great food with a good percentage of actual meat,52022,Disappointed in Wellness. I read on their site the 12.5 oz cans have BPA after I purchased. Do NOT buy!!!,By Wellness,NOT BPA-free
"GREAT ""STEAK"" DINNER!",Excellent cuts and appearance/ smell. We use this as a tasty topper her and there just to mix up the proteins. One of the few Wellness Core canned foods that does not contain chicken or poultry (read all labels on other varieties very carefully). Excellent! Highly recommend!,95665,"Like having the food delivered, but if I get anymore dented in cans of food Ill go back to getting the food at the local store...",By Wellness,like the delivery
Happy Golden and Labradoodle,"My 18 month Golden Retriever and Labradoodle both love this food we mix it with the kibble. The doodle had quit eating a food for allergy sensitivity as well as stomach sensitivity, I only have to mix a tablespoon of the canned with the kibble and she gobbles it down. This makes the canned food last ",94179,My Husky is on special diets for a skin condition that the Vets cannot find a cure. They change his diet and he does not like any of the food they put him on.,By Hill's Prescription Diet,expensive for what you get
Terriers love it,Wanted a wet food with pumpkin to help with digestion and the two terriers love it. One tray is enough to feed both of them. Very convenient.  I had a problem with one tray that had leaked and smelled but Chewy sent me a whole case to replace. Great customer service!!,52476,"My dog loved it, BUT, I didnt realize the food is made in Thailand. I have heard bad things about pet food from Asia - mostly because of their laws and standards when it comes to making pet food. I will keep lioking for Natural no meat-by-products food made in tbe U.S. Sorry...",By Natural Balance,"My dog loved it, BUT..."
Nice treat with kibble,We get this wet food on auto delivery and switch up our kind each time. They love a scoop with their kibble!,52815,"Disclaimer: I am a ""people-food for doggies"" cynic. My dog only eats ""people food"" when it fell off my plate and hit the floor. Making doggie food look like stew-for-people misses the point. My dog actually likes dog food that I would never want to eat.

I used to mix Iams lamb pate formula with Iams",By Earthborn Holistic,Stew is for people
HAIL CESAR,I HAVE 2 DOGS. A BICHON AND A SHITZU. THEY ARE BOTH FINICKY EATERS. I'VE GONE THROUGH SEVERAL BRANDS OF DOG FOOD ( DRY & WET MIXED. JUST DRY IS IGNORED. ) THE DOGS WOULD ONLY EAT A SMALL AMOUNT OF WHAT WAS OFFERED AND LEAVE THE REST. DUE TO ALLERGIES TO THE CHICKEN AND BEEF  MIXES MY VET HAD ME SWITCH,47089,"One of the containers had leaked out in the tray, and was spoiled. The contents inside had turned black and smelled horrible.",By Cesar,Spoiled contents
Great Choice!!! Definitely worth it.,This food was recently not in stock at the local pet store in my town.  I was disappointed because this is what we give my 15 1/2 year old Jack Russell to ensure he gets the nutrients he needs.,93817,"due to all the great reviews I was so hopeful I'd found the right food. Cassi will not touch it so now I'm stuck and I guess it is back to the drawing board,  I am so disappointed",By Purina Pro Plan,waste of money
Why is the copper ingredient in most of the dog and cat foods?,"My male Samoyed, 10 years old, has had his liver compromised.  He is on the  Royale Canine Hepatic diet and I have to be super vigilant that nothing he eats has copper in it.  So I am reading labels for the ingredients and I have switched to supplementing with the Evanger pure Cooked Chicken because ",52652,"I don't understand why but our Miniature Schnauzer, who is normally a real chow hound, won't eat this stuff. It appears to be just fine so I have no idea why she is turning up her nose??",By Evanger's,She Won't eat it.
Finicky eater loves it,I have a very finicky Akita that can be a problem at meal time. He loves this as well as the turkey and the duck flavors. Doesn't care too much for the salmon or the beef though. We add 1/8 - 1/4 can to his kibble.,85004,"I almost exclusively buy Blue Wilderness dry food served mixed with canned for my two dogs. I admittedly test out one can purchased at retail and then order in bulk from Chewy if my dogs like it.

Dogs have never had a problem with any other BW product until this one. As a few other reviewers have ",By Blue Buffalo,"Recommend Blue Wilderness, not Trout & Chicken Grill"
Yummy in my tummy,"All 3 of my babies love Wellness's turkey stew! It has the right ratio of fat to protein for them and gentle on the tummy (not too rich). It does have a little too much gravy, but I don't add all of it to their bowls. Add a little warm water, mash with a fork (for the little ones) and dinner is served",49223,"I ordered a couple cases of wellness and my pups dont like it. Not sure what to do with all this food?
I switched to Taste of the Wild and they seem to like that.",By Wellness,pups dont like it
My chihuahuas love Earthborn,"My chihuahuas love the Earthborn products that I've purchased so far (dry food & the moist), and with Chewy, it's delivered straight to my door quickly - perfect!",52819,"I bought this for our 2 Shih-Tzu's and they hated it, I ended up giving the case away. Nice donation I guess. Disappointed also that Chewy.com doesn't caring many of the Hills Science diets can dog / puppy food...The ones my dogs like are cheaper at a pet store than on here. That's disappointing also",By Earthborn Holistic,Earthborn Tukey dinner grain free
Mikey Likes It,"My two rescue dogs, each of whom has severe food allergies, love this product.  They get half can and then kibble later.  It does not smell bad like other venison/duck products, and there are real veggies.  Sometimes they like to just lick off the gravy and then come back later for the rest.",86955,"My pitbull would not eat this food. I tried and tried and tried, but unless I was hand feeding it to him, he would totally avoid it.",By Merrick,Would not eat!
Prefers Salmon version of this food,"My pit mix has to be on a very LID due to severe food allergies. While she has had no issues with the turkey flavor, she gobbles up the salmon flavor. I have already changed my next autoship to the salmon flavor.",87335,"This canned dog food is very mushy and soupy.  I have to hide meds inside the food & the consistency makes it impossible.  The dogs seemed to like it, but it really makes a mess when they eat it because they are lapping it up like water.",By Merrick,Merrick Diet Moist Canned Dog Food
Allergie free dog food,My lab mix has allergies.  Chicken is a known to trigger allergies and the Instinct Rabbit has no chicken products in it as well as no grains.  Instinct makes a great product.  Many other dog foods will say Rabbit etc and if you read the ingredients  there is always chicken stuck in there food!,120826,"Got a call this morning from Chewy that my 12 pack was repackaged and now came in 6 pack. Basically the recipe has changed, I just compared my can to this new, $1.50 a can more. New recipe does not have pork liver, no fruits or vegetables as before. Went ahead and accepted the change this order, but ",By Instinct,"Recipe Change, Price Increase"
Good supplement,If your cat needs extra fluid I highly recommend this. While my cat does not like the beef one he does like the chicken and he needs the extra fluid. The carton states to the discard it after 7 days which I find to be okay since my cat almost finishes the carton within the time frame. I have added it,121487,"i ordered this and Fruitables chicken broth for comparison and found that despite the two products being more or less identical in quality and quantity, this one was literally 4 times the price of the other one. 3 star rating for that reason.",By Caru,"seems good, but overpriced"
Love CANIDAE canned food!,"I have three small dogs; an 11 month Toy Australian Shepherd and 2 senior English toy spaniels.
I have been using a small amount of senior canned food in their Solid Gold wee bites all life stages dry food.
I recently purchased CANIDAE all life stages canned food to mix in. I am so glad  I finally ",47053,See above message. I am a canidae buyer for 2 years grain free is my choice and the dogs live the bison dry and moist,By CANIDAE,My newly diabetic dog won't eat this flavor. He is picky now. My other 2 will eat it. The fish smell stinks so bad.
My dog loves this food!,"The lamb and beef have small bite size squares, just the right size for my shih-tzu.  He loves this food and once again no chicken or byproduct so he does well with this food and his allergies.",49212,"I have two small dogs who are, admittedly, picky eaters. However, I found that the cans within a single case were inconsistently filled. Some had gravy in the cans, while others lacked gravy. The weight of the cans varied as well. It seemed as if the cans came from an off batch processing. I was also",By Wellness,Batch Inconsistencies
Great Canned Food,My dogs love it and I make dog treats out of it. I have made them and given to friends that have dogs and they love the treats I make with it too!,47329,"I fed this to my 3 medium-large shepherd mix dogs. I mix a little into their dry grain-free kibble. They seemed okay with it at first but after just a few weeks, will not eat it. They love Happy Hips, so that's what I will switch back to.",By Evanger's,Not a favorite
Yum! Yum! Yum!,Smells good enough to serve for Thanksgiving! Even the cats want it! AND auto-delivery was WONDERFUL!!!,98904,"Most of the Merrick Lil' Plates my toy poodle will eat, however, this is an exception. She does not like it. Not sure why. I can usually get her to finish it with a coaxing that seems to take days. Will not buy this particular one again.",By Merrick,Won't eat without a lot of coaxing on my part
Sammy loves,My dog soon to be 8yrs old is a really picky shih tzu. Cesar is the only dog food he will eat. Buying from Chewy has so many varieties and so much cheaper than buying from Pet Smart. Love the fast shipping and love having delivered right to my door. Thanks Chewy,86057,"Either one of my little girls likes this one, and I bought 24 of them. Now I don't know what to do with the rest of them...",By Cesar,Either one of my little girls likes this one
Your dog doesn't need to be a puppy to enjoy this!!!,"My dogs are not puppies, but they do enjoy these very much!  I give it to them in between their dry food feedings and they love it.  Shop with chewy and you get your orders very fast and also at the best price!",86456,"I think I may have wasted my dollars with this purchase. My dog will not touch any of these food choices. usually, he will go after his dinner with the other",By Cesar,Mick - my pet doesn't like these meals
Good quality.,Food is expensive however my little senior dog loves it.,55588,"I was really annoyed when I read this food was made in Thailand. I do not care what the other reviewers have said. I will NEVER purchase this canned food again. I use this only as a 'topper' and it smells good but, I am examining each can I open. I order an expensive kibble for them as well as feed Raw",By Weruva,MADE IN THAILAND
Excellent dog food,"I have a senior dog going through medical issues.  I can put her meds  in this food and she licks the bowl clean. The food smells good the ingredients are simple and healthy.  It's a good product. 
Chewy is amazing.  Two day delivery for a good price. I'm sticking with them.",65660,"I just spoke with a rep from C&P bc my husband and I noticed the consistency changed in the chopped turkey and the shredded chicken dinner flavors we most recently ordered. She said it shouldn't have unless we got the new ""recipe"" which isn't supposed to be on the market until August. Sure enough, both",By Castor & Pollux,Organix from 5 stars to 1 star
Great quality and packaging,I am a big fan of the Weruva wet food products and was getting the cans before switching over to these food pouches. This has the same quality as the cans but more of a pate form. I really like this because its more convenient for my small dog as one can normally lasts for multiple days and requires ,91006,Sorry...my dog would not eat it...but my cat loved it.,By Weruva,So-So
Best puppy food,"This puppy food was recommended by our vet for our 8-month old puppy, and he loves it.  I am confident in serving it to him knowing that I am giving him food to keep him healthy.  Purina is a great brand.",67444,"I previously bought the big cans of this exact same food. I wanted the convenience of smaller cans = same brand, same type, same label, only smaller can. Previously, my puppy wolfed down the food, the small cans she won't touch at all. I am pretty much at a loss as to why unless the large and the small",By Purina Pro Plan,Small cans produced somewhere else?
Treats that are always loved.,"I originally found out about this product from a dog trainner.  My dogs would be looking at her hand and being obedient.  Since then,  it's a no brainer. I either give it to them as a slice and let them work at it or I cut it up in pieces.  Also, I put meds in a piece and it has never been discovered",60799,"This was the first and last time I purchase this product. When I opened the roll it was dry and crumbly nothing like the ones I had purchased in the past from a different company also thru Chewy. Unfortunately that item was discontinued so I had to pick something new, but this is not it.",By Redbarn,Not what I expected
The dogs love this one.,"We have two Shih Tzu mix dogs.  It is a bit of a challenge finding a food that they both love.  But the first time they ate this, they both cleaned their bowls in record time!  I love the consistency.  It's not big chunks, but it's not the typical pate that is a hard blob.  This slides out of the can",47328,"This food was always good but now we almost stopped buying it because they seem to be adding more fat as a filler for weight. Not sure if we will keep purchasing it. Stopped other foods for same reason. Quality from fat content had gotten sloppy,",By Evanger's,My doberman likes it but gotten very fatty. Recommend yes and no.
Smells like people food,"I feed my 13 yr old BC/Lab nothing but Blue Buffalo. I supplement with a glucosamine/ omega 3 powder...and other than some arthritis in his spine, he's a very healthy boy. I put about 1/3 of a can of wet with a hearty scoop of dry and Blue Buffalo has so many great wet food choices that I'm able to vary",75707,"It's very difficult to find a dog food that my dog can have (allergies), let alone eat. I've tried so many different brands, it's a shame to spend top $$ on products that don't make the grade. My local stores don't carry limited ingredient food, which leaves me stuck with buying a quantity just to try",By Blue Buffalo,Dog doesn't like it
Corky loves this.,Unbelieveable!!!  Corky just devours this dog food.  So glad I found it as I was having difficulty getting him to eat the Filet Mignon and Porterhouse Steak ones.  He is 13 and has lost most of his teeth so cannot chew much of anything.  Thanks so much.,47091,"My twin poms have eaten Cesars since they started whole food.  They love the turkey flavor the best..
This senior flavor is not their favorite.  I won't but it again.  But, that doesn't mean you shouldn't.",By Cesar,Not well liked by my seniors
different food,I would like to cancel this order - my dog isn't eating it as good as she did so I'm choosing the chunky stew wet food to see ig she eats that one.,86735,I recommend all Nutro products my dogs are not fond of this product.,By Nutro,Nutro adult kitchen dog food
Great purchase,"My dog is allergic to chicken and byproducts. This food is one of the few without chicken. The store where I was getting it wasn't stocking it. I found it on Chewey, ordered it, got it promptly, price was better than in store and no shipping charges. Everybody's very happy!!",98907,"My dog ate the 1st one.  Now, he wants nothing to do with it.",By Merrick,OK at first
Great food,My 14 1/2 year old little guy loves this food.  I finally had to take him off hard kibble and put him on canned food.  He wasn't wanting to eat his kibble so I switched to this. I'm sure it's his teeth.  Now he gets canned in the morning and kibble that has soaked in water overnight at dinner - doesn't,52278,"I've been monitoring and found at least 10%-15% of the dog food cans coming from Chewy are dented and in two cases the contents were bad. This is unsatisfactory and if it continues, I will cease purchases from Chewy.  

As for the likeability, my dogs are not keen on this brand in any of the flavors",By Merrick,Seconds???
My Picky Dogs Love It,"My dogs are very picky and if they don't like something, they go on hunger strike. I've tried various expensive foods and they turned they nose up at all of it. I ended up giving it all to a homeless man with a dog. When I got Natures Valley Instinct Beef flavor my dogs had no problem gobbling it up.",120818,"In trying to find something my picker eater will chow down on like my lab I thought I give this a try. Lab would it all day but, not my teddy bear. On to something else.",By Instinct,Picker Eater
Great food and great price,We feed our dogs the Blue Buffalo dry food line and supplement with a small amount of the Family Favorites line of canned food.  Because of it being like any other stew it is easy to remove small amounts and mix it in with the dry food.  Our dogs love both products.,85006,My dogs didn't care for this variety. I'll donate it to a local rescue group.,By Blue Buffalo,Not so much
Patsy reall likes this for her dinner,"My Patsy seems to only like dog food that are in this consistency, she is a bit fussy, so glad that there are 3 or 4 varieties that she likes in the Wellness. Chewy's is great, arrives fast and don't have to worry about if the Petstore has it, since they don't carry this in the grocery store.",76675,"I have a Cairn Terrier so I thought it would be nice to try the petite entrees. However, this is so hard to open, despite the tag saying ""easy open."" Quality seems fine, you can see the veggies but my dog doesn't seem as excited about it as he is with Wellness Core. And he gets gas from this. 
Financially",By Wellness,Not the best option from Wellness
Great food,What can I say? The food is mostly turkey and looks good enough for me to eat. My dog loves it. I mix it with dry food twice a day.,120827,a mid line product for all dogs to enjoy without an exorbitant price,By Instinct,dog food
Picky eaters,"I had been cooking my own dog food for my 2 GSDs in crock pots.
When I found this Nutro Ultra I was pleased. It contains all the same ingredients I used in my homemade food. As does the dry Nutro . I mix the two together and my dogs eat it up. So much easier on me than 4 crock pots of food cooking at",48374,Not the best for weight management. My bichon is not satisfied and constantly wants more... would not recommend,By Nutro Ultra,"It's okay, but not filling"
Great topper!,"We have always topped our dog's dry food with a little something extra but usually ended up rotating options to keep the dogs interested. Both our grain free, 50lb am staff and our not grain free, 25lb cairn terrier love this salmon topper and have been eating it consistently for weeks now! Both of their",49198,My dogs don't like it and it doesn't smell very good.,By Wellness,Maybe not tasty
Yumm-E!!!!,"The chi/beagle is fussy!  Trying to find the right combo of canned foods and kibble has been trying, but I think this one is a keeper.  Although she gets more excited about the ""Wingaling"" dinner, she still is pretty enthused by the chicken thigh stew.  It was a bit disconcerting, at first, to see whole",86949,"Have feed my dog Merrick Grain Free Smothered Comfort and tried this product. It is similar, but this product has more gravy and less meat. I also do not like the smell. I will go back to Smothered Comfort.",By Merrick,O.K. Product
Special digest food,The beagle I've been caring for has been on a rice and egg diet. He always had loose stool. I bought some of this food for him for hurricane Irma and he LOVES it! And has proper stool!,90686,"I'm sure this is a good product for dogs suffering from IBS and stress. In fact, my pup likes the ID Stress kibble - but the stew she really did not care for at all. In fact, she turned around and tried to cover it up like it was something foul. Not sure why she had such a reaction to it, but I am giving",By Hill's Prescription Diet,Dog does not like the taste
Lulu loves Merrick Limited Ingredient Diet Grain-free can dog food,We thought switching our girl Lulu from Merrick's Backcountry Grain Free can food to the Merrick Limited Ingredient Grain Free would be an issue but she loves the Turkey and the Duck just fine. We love the Merrick products because of the quality but also because of the variety! More flavors equals lack,87333,"I ordered the wrong recipe.  I opened one can and it really smells like dog food, not like some of the other brands I've ordered in the past.",By Merrick,Merrick Duck
Thankful to find this product,My cats can only eat salmon and trout. They are allergic to everything else. My local store stopped carrying this product so I am grateful that Chewy.com carries it! Many local rescues here use Evanger's Salmon for their initially rescued dogs and cats because it is such a high quality product.,60010,Not sure if this is a review of the food or a review of my cats. It's like they don't know what to do with food that's made of nearly all meat. The food itself seems to be good quality.  Probably the cats are defective.,By Evanger's,Cats dont like it
I love it for my little guy,"I been feeding this brand to our 8 year old Dachshund for years...I take a spoonful, mix with grain free dry food and water and he loves it!!!  The best part, he goes to the bathroom very healthy!!!  That is when you know your feeding them good food!!!!!!",73949,"My dog loves the Whole-Earth Red Meat flavor, but doesn't like this one. He's a poodle / Scottish terrier mix.",By Whole Earth Farms,Not his favorite!
Wow Newman's Own owns it,"First time our very cautious, hardheaded girl ate a meal without hesitation, without waiting for enticements, without a very calculating holdout for something better.",48333,"Sorry, Newman... Every can in the case has a large lining of solid white hard fat that I need to peel away from the food before serving my dog. It's really gross, terribly inconvenient and wasteful. After separating the non edible portion, I'm literally throwing away at least 20% of each can. Only reason",By Newman's Own Organics,20% of can is solid fat
My puppy is crazy for this!,"Usually, whenever puppies are fed wet food in general sometimes they have liquid poop but this wet food sets the bar for all wet food. After working at SPCA, I have seen the difference wet food can do when added to dry food for a pup or adult dog, Zignature you are awesome! Not once did my puppy have",80252,"My 7 months Golden Retriever really didn't like this food! I tried to mix turkey, yogurt or treats in his food but NOTHING! I know that Zignature is a very healthy food, but not for my dog. 
After 7 days forcing my dog to eat Zignature (cat fish dry + Zssential canned) I called Chewy and they returned",By Zignature,Not for my puppy
Great product!,"I have a senior dog that is on medication twice per day. I have to use different things to give him pills as he is a little picky. ;) I use this pate to give him his pills and he LOVES it! The consistency is easy to hide the pills especially when chillled in the fridge! The ingredients are great, so ",52141,I have never had a product from Chewy that my dogs didn't like except this one. The consistency was dry as well. Also two of the containers were open at the corner and the food was spoiled inside (we threw them away). I would never recommend this product.,By Nutro Ultra,Not a great product for us!
Chihuahua loves this food,Had to find a natural fish based food with reasonable number of calories per can that my Chihuahua would like.  This one has 70 calories less per can and than the Blue Basic version of fish. She loves this food   And seems more satisfied after each meal. I just bought 24 more cans. Price is very good,80244,"It is difficult to rate this item, although our Maltipoo loves fish (home cooked) she would not eat this food.  We tried over several days to entice her to eat the Trout and Salmon.  We the tried various ways to again entice her to eat but to no prevail.  So sorry I could not give a true recommendation",By Zignature,Trout and Salmon Wet food rating.
Hope still available.,My dog is doing well on this food. Have been unable to reorder but not Chewy's problem. Shipping was great.,69748,"Had to try this since the venison was discontinued.  He will not eat it and has not eaten in a few days.  I found one can of venison and he gobbled it up.  So want the venison back.  Luckily, chewy refunded full amount and I donated rest to a rescue center.",By Hill's Prescription Diet,My dog will not eat it
Doggie approved,I got the devastating news that my baby girl Lilly has heart issues. I was told that she would need to be on a special low sodium diet. I found this product and she loves it. She eats it right up. I'm very thankful I found this food and I know it's good for her.,69759,My dog liked it at first but now doesn't want to eat it.,By Hill's Prescription Diet,Unsure why he no longer wants to eat it
great products,Want to thank you for the great food for our dog. She loves it. Also it was shipped very fast. I love dealing with your company.....so does our dog.,75705,"I purchased Blue Buffalo for the first time. The cuts of meats do not look real and it is very watery. Both my dogs will not eat it no matter how long I leave it out, I have tried mixing dried dried dog food too no avail. I will continue with Chewy as I love the Company but not this brand of food.",By Blue Buffalo,Not enough substance
for fussy eater!,my dog would not eat anything until he was absolutely starving. this could take a day or two! not any more. he absolutely LOVES Cesar dry and wet food.,86033,"dogs love it, may not be the best for them, but, they will eat it",By Cesar,easy to open
Sensitive tummy,"My fur baby has food sensitivities and Nutro Lumited Ingredient is the food he tolerates best. I checked out Chewy, found it was cheaper and delivered to my home! The order came on time....",86744,"I have the worst time opening these cans.  If you pull the tab it sticks close to the end.  When you pull harder then the can pops open and the food goes everywhere.  You told me to use a regular can opener, when I did that it would not completely open the can.",By Nutro,Terrible can
My dogs love it!,I bought the Rabbit Stew because my 2 terrier mix dogs hunt rabbits in our hay field when I take them out there. They are also great at hunting rodents that come in from harvest time in the fields next door. I use the Rabbit Stew as a topping for the Merrick dry food and they love it!,86957,"She seemed to like it but now will not touch it.  I've tried to sneak in a can to use it up but that's not working.  That's the down side to buying a case, but the local food pantry takes pet food too..",By Merrick,Nope...good start but
"Nice smooth texture, mixes well",Mixes well with there dry food. Sometimes some cans sort of stink like the Chicken was about to go bad. Other than that they really like it.,71302,I ordered this meaty mix hoping the fact that it was holistic would be OK for my two Shih-Tzus. My female puppy started to lick her paws almost immediately. I took her to the vet with a can of the chicken entrée and I was told that she was severely allergic to the garlic in the mix. Since there was no,By Health Extension,Not for my puppies
Delicious!,"Geyser thoroughly licks the bowl then returns to make sure he didn't miss a morsel of Core salmon-whitefish-herring formula. Geyser gobbles up Core turkey-chicken formula but is even more enthusiastic about the salmon-whitefish-herring formula. 
I first purchased Core grain free turkey-chicken canned",49204,My teenage lab eats the fish flavor but he's not crazy about it. Nothing wrong with the product.,By Wellness,not his fav
Very nutrishious,I started out by buying the variety pack a couple of times to see if my Doberman would like this food.  She devours it and she's a picky eater.  I like how there are real chunks of meat or poultry in every serving.  I blend in 1/2 a tub with her kibble.  Sometimes I shred up some fresh spring mix greens,108509,"I had been having issues with a nursing mom eating. I have 6 foods in the house from here all kibble and she would not eat anything. I talked to a breeder friend of mine and she suggested this product. It comes in 8 to a package which is about 1.79 a tub. I always get good products from Chewy, so I ordered",By Rachael Ray Nutrish,I made a mistake
Adult Pate Entree,"I split this between two 12 pound terriers for breakfast. They love and so do I, because it is easy and good ingredients for my teenager doggies!",52139,"Any left over in the fridge turns to brick in a few hrs. Doggie, does not like it when is so firm, even though I mash it as much as I can.",By Nutro Ultra,Too hard once in the refrigerator
Cesar review,My KiWi & CoCo love Cesar & now the dry food as well. They are being cared for by a pet groomer as I heal & she has 2 dogs as well so I buy for all 4 & she tells me they are all happy campers!,86067,My dog is a picky eater and she did not like the breakfast scrambled egg and sausage. Won't buy that for her again.,By Cesar,Noir a fan.
