,pos_review_content
164,Mixes well with there dry food. Sometimes some cans sort of stink like the Chicken was about to go bad. Other than that they really like it.
165,"Geyser thoroughly licks the bowl then returns to make sure he didn't miss a morsel of Core salmon-whitefish-herring formula. Geyser gobbles up Core turkey-chicken formula but is even more enthusiastic about the salmon-whitefish-herring formula. 
I first purchased Core grain free turkey-chicken canned"
166,I started out by buying the variety pack a couple of times to see if my Doberman would like this food.  She devours it and she's a picky eater.  I like how there are real chunks of meat or poultry in every serving.  I blend in 1/2 a tub with her kibble.  Sometimes I shred up some fresh spring mix greens
167,"I split this between two 12 pound terriers for breakfast. They love and so do I, because it is easy and good ingredients for my teenager doggies!"
168,My KiWi & CoCo love Cesar & now the dry food as well. They are being cared for by a pet groomer as I heal & she has 2 dogs as well so I buy for all 4 & she tells me they are all happy campers!
169,"The two pup's I rescued were about 4 weeks old when I found them. I got lucky because a friend suggested the Nutro line. I then did some research, and read TONS of reviews, then promptly placed my order. My fur babies love it! I would not hesitate for a second, to recommend Nutro to my friends and family"
170,Switched to these dog food rolls recently as I finally got tired of cooking chicken on a weekly basis for the last 11 years. She likes the texture and I like less mess and work. Also know she is getting more nutrients. Also eats moe kibble with this food.
171,My very picky pooch loves this stuff. She used to pick her food from her bowl and eat it on the rug. Now she eats it all up on her plate. We add the dry duck kibble with the duck stew and so far so good.
172,"I tried this brand dog food when my regular dog food  I  purchase with potato and venison  has been out of stock now for months 
 My three dogs love it  they can't get enough of it even looks better and smells better than the previous brand dog food I was purchasing 
 I highly recommend this food"
173,"We had a very sick 10 year old dog.  She vomited every day for over a month.  The vet gave us some canned food for dietary upset, but she hated it.  So after doing some research we decided to feed her Blue Buffalo Fish & Sweet Potato and she is now back to her old self.  If your dog has digestive issues"
174,"Lily loves this food.  I'm not sure she taste it because she cleans the plate so fast. 
l give it to her in the morning and call it  'breakfast'.  If she ever turns it down I will know she is sick and take her to the vet."
175,Honestly it looked like a homemade stew but my puppy would not eat it? He didn't like it alone or mixed with his puppy food.
176,My dog loves this food and prefers it to another organic brand. I feed him Newmans Organic wet food in addition to a homemade dog food. It's on auto ship so I always have some on hand.
177,I ordered a case and 8 of the cans were dented. I dont think it happened in shipping because a few of the cans were in the center of the packaging and even the cans on the side were protected during shipping with brown paper packed in the box.Is it possible to get credit for those shipped damaged as 
178,Yoda likes the Hill's Prescription diet canned food.  For some reason she didn't take to the Hill's Prescription kibble; think it was the size which was about double the Buffalo Blue she was so used to having.  Two other dogs on the kibble also like the canned.  Read the ingredients on the can and noticed
179,I had been having difficulties finding a soft or hard food that my puppy would eat. She definitely loves her soft Royal Canin puppy food. She is a small breed dog and can almost eat the whole can!
180,My Vet suggested I use the prescription version of this canned food. I can't afford it so I decided to try this food. Both of my dogs love it. They devour it like it's a steak dinner :-) It looks just like the chunky sirloin steak soup from Campbell's. It smells like it too. I highly recommend it.
181,"I ordered the zignature because it has no chicken. My dogs loved It! I was cooking up Perdue chicken and putting that over their dry orijen and also adding the broth. I did research on can foods, and found this one to be excellent quality. My dogs really love it. I guess they got sick of chicken. So "
182,"This food is amazing.  My dog loves it and it doesn't bother his sensitive system.  He transitioned very easily on to it.  It will definitely remain in our rotation.  Thank you for the wonderful service, Chewy, as I had tried another flavor and my dog didn't much care for it, so I was able to swap it"
183,"Both of my dogs loved this food. I have 2 very different girls, with very different tastes, but they both really enjoyed this flavor. I'm thrilled to find something that they love, and that agrees with them. No sick tummies. I do agree, it's very difficult to get the lids off, but it's worth the trouble"
184,He is a toothless dog that I just rescued from a high kill shelter. This food was highly recommended to me sadly he is allergic to chicken so we found another food without chicken that he also likes. Excellent service with Chewy. I am donating what I didn't use to a rescue group
185,My 2 dogs do not eat well except for this. They are healthy no upset stomach. They never get tired of it and its auto shipped and saved money.
186,"This wet food was quickly gobbled up by my dogs.  One can feeds my two small dogs for one meal, and the cans are super easy and convenient to bring along for trips.  The quality isn't that great, but is good for a treat meal every now and then.  We'll probably buy more in the future!"
187,Our pup seems to be allergic to chicken protein. Imagine my dismay to find her food labeled lamb has chicken as a first ingredient. So far this food lives up to its name and her tummy and we are grateful.
188,This is a great food.  It is healthy and doesn't have a lot of fillers and does have real chicken and lamb!  Even though I didn't purchase enough for free shipping I received my shipment in only a few days!
189,"My dogs thrive well on Wellness canned Turkey, and it is great to have it delivered on a timely basis!     It costs less to have it shipped than it would if I drove to the store to buy it, and I don't have to load the car and unload the car when I get home.  I also save on using the gasoline to drive"
190,"I will definitely order this again & again!! My 4 furbabies (3 Boston Terriers & 1 little terrier mix) get dry food with a heaping spoonful of wet for breakfast & dinner (dry only at lunch). They LOVE this food! The first time hubby opened one, he thought he'd opened a can of human food by mistake. LOL"
191,My latest change to my 5 yr old Chihuahua's diet - Hill's Perfect Weight - seems to be very tasteful to her and I use the directions on the can to keep her weight under control.
192,"I've bought earthborn wet food for my dogs once before and they loved it, but im a little concerned that there's not enough meat in them. Dogs need protein and are natural carnivores, but only the turkey earthborn states it actually has meat in it. I will be doing more research on this type of food before"
193,My boys love this food and I love that it just takes about one tablespoon to coat their kibble. They get some moisture and a flavor they love and I can be happy it won't add weight to them since such a small amount is used.
194,We purchased this food to add to our dogs dry food.  She really looks forward to eating.  We feel confident that she will get the best nutritious meal since it is made by Blue.
195,Love Chewy.com   I have rescue beagles and they love all the varieties of Evanger's wet food.  I like that they are grain free and don't have a lot of chemical junk in them!
196,"Our 3 month old Aussie devoured, but our 3 month old GSD turned her nose at it, but licked off the gravy. Big chicken chunks in gravy and veggies too. Such quality ingredients. If your puppy likes a chunky gravy type of food, this is the one. I will order it again for my Aussie."
197,"So, when I cracked the first can open, I felt like I was back on the farm again, but more like someone had bottled all the farm smells up into one and I bought it! PEW!!!! This stuff smells like stinky farm butt; however my dog loves it and if she is happy and healthy, I am overjoyed. When I put it in"
198,My puppy loves this food.  I only add a quarter of a can to her Blue puppy kibble.  Only minor complaint - two of the cans came with a big dent.  I am sure this is a result of shipping and not from Chewy.  Customer Service at Chewy is outstanding.
199,"We have a picky Great Pyrenees (Charlemagne, known as Charlie) who undereats and is quite skinny that we re-adopted from my parents after they couldn't take care of him anymore. My parents swore he wouldn't eat fish, but I've found he's more adventurous when he sees our Pyr mix enthusiastically eating"
200,my dogs run to the kitchen when I open a can.  they appear to enjoy it.
201,"Our dog recently had a case of pancreatitis and we were told to put her on a low fat diet, to help her recover. She refused to eat the prescription low fat dog food which is supposed to help this condition. I talked to the Tech Service person at Evanger's who said this Vegetarian Dinner was formulated"
202,"I gave this 5 stars, but I have a VERY fussy hound who will not touch it, no matter what I add to it, i.e. canned cat food, ground beef, chicken. However, my Lab, who does not have kidney problems gobbles it right down. Have decided the hound's quality of life is worth more than her quantity, so am feeding"
203,"Our lab mix ""Dixie"" has a ravenous appetite and cutting down on her regular food was met with displeasure and constant begging and whining.  During her last routine visit at the vet, she tipped the scale at 120 lbs. and the vet prescribed a diet of Royal Canin Veterinary Diet dry food and wet food mixed"
204,"Finally! A food that my two elderly shih tzus love. It's not as messy as some canned foods. And because the cans are smaller, each can is a meal. After just a few weeks their coats are less dry and their stool is far less potent. Win win win!"
205,"I use this product for training.  She is not my dog. . .my neighbor's dog.  I have been teaching to to walk with me, and not tear out my arm.  She gets a tiny bite of it every time she looks at me.  This keeps her very interested in me and my pace, etc.  She is much easier to control with this product"
206,"I love having this food delivered right to my home. Saves me a trip to the pet store. My dogs love this, and it's grain free, which is also nice. I haven't had a dog who didn't like this food. It's also easy to digest."
207,I feed my dog some canned food with his dry food.  I have tried several different kinds.  I tried Purina One and he really loved it!   I trust Purina products for my dog.
208,"This food is good . My puppy is getting older now and sometimes likes the food with the gravy to change off. As long as it's blue, it's good . They have so many varieties at chewy and they're cheaper."
209,"My dog Annie Laurie's Vet at The Hope Center put Annie on Royal Canin Veterinary Diet - Selected Protein Adult PW canned dog food.  My dog has Irritable Bowel Disease (IBD), along with occasional bouts of pancreatitis.  Annie absolutely loves her new Royal Canin dog food.  She's licks her food bowl clean"
210,My dog has been eating this brand (Earthborn) for some time and I just wanted to try something different. I purchased 1 container at a local pet shop to see if she liked it. Wow did she ever. I now mix her dinner with half stew and half dry kibble. I have since purchased a case from Chewy.
211,"i have four very picky eaters and have been plowing my way through canned/wet foods that they will eat and that i can hide their pills in. this one has been a semi-finalist but i still plan to try other foods. variety is the spice of life - if we don't like eating the same thing every meal every day,"
212,Your service was a 10 good job I have already recommend it to several friends. I plan on ordering from you guys always. Products was delivered on time and well packaged also. I am very happy with my purchse
213,"My Puppy is only 2 1/2 pounds and she loves this mixed with her kibbles.  So to the ones that say their puppies don't like it try mixing it with kibbles, I use my fingers to make sure it covers her kibbles so not a lot ok... let me know if this helps."
214,I rescued a senior yorkie who was skin and bones. He had every tooth removed and is an extremely picky eater. Most food he walks away from. Someone recommended Merrick puppy food as a high calorie alternative and he LOVES it! I even see him filling out a bit. He was on death's door before I started giving
215,"My dogs LOVE this food, but I ordered the Beef and Rice WITH GRAVY but received the pate pasty kind which they don't like as well and is very hard to mix up with their hard food."
216,My 10 year old labrador was recently diagnosed with inflammatory bowel disease. She was loosing her outer coat and it was not as shiny as it once was. Our vets recommended a hydrolyzed food or novel protein. Looking at the hydrolyzed food I had little trust in the companies that make it so I set out 
217,"My girls, twin Shih Tzus 17 months old, absolutely LOVE the Duck and Turkey canned food! I put about a teaspoon on top of their Canidae dry food and mix it in. They are very picky and very spoiled, expecting  a little canned food mixed in with their dry food. I feed ONLY Canidae which they love and are"
218,Merrick food has been great for the dogs and chewy.com makes it so easy to order. Keep up the great work
219,"We went through a lot of food before finding one that our dog would really enjoy. She likes a few of the WeRuva flavors since it's basically feeding her people grade food that doesn't even look or smell like dog food, but she absolutely loves the streak frites! Wish the cost was the same as the other"
220,My puggle loves this wet food. I gave him a bowl for the first time and he gobbled it up and wanted more! Good dog food to mix with dry food to.
221,Our dogs favorite food - he does prefer the Chicken & Liver or the Duck - we like the ease of opening container and can reseal.
222,This is a great grain free canned dog food.  I feed a quarter of the can to my miniature schnauzer after he eats his dry food.  It's like a treat to him and he loves it!
223,This food is impossible to find stocked on shelves.  Chewy saves me time and with auto ship I save money and never have to remember to reorder!
224,My dog has a very sensitive stomach & this is the only brand so far that agrees with him.  I believe in non gmo & organic & this food is neither.  Anyway to change that so I can be assured he is being fed a healthy diet?
225,"Purchased this canned food for my 12 year old white german shepherd.  She has always had food allergies and intolerances and for the last 4 to 5 years can only tolerate salmon.  Just recently, she has become intollerant of Taste of the Wild Salmon, which she loved, but the only thing I can detect in "
226,"Our 13yrs old Jack Chi. Cha Cha, just loves this and the Senior Wilderness.  We also, get the dry version for her.  She was a rescue dog from a puppy mill and not in good shape at first and her teeth were awful, she had to have 8 pulled immediately, some had already fallen out.  She was 8yrs when we "
227,Your staff is wonderful! Bella was to eating this food and she did until we went on the food alone. She wouldn't touch it. Doc said put her back on her regular food. So I was sitting with 18 cans left and what to do with them. Your staff reimbursed the difference and told me to donate the rest. I really
228,"The ingredients look like they are very good and the brand is a good brand.  However my elderly dog is getting very picky about her food.  She will eat this eventually, but even though she has lost quite a few teeth she seems to prefer dry food over canned anymore, but I do think this is a good quality"
229,"My Golden Doodle loves it when I order from Chewy.com.  It's like he knows when the UPS man comes ringing the doorbell, it's something special for him from Chewy!  I ordered a case of Merrick Limited Ingredient Turkey and a case of the Lamb and he loves both products!   I ordered it around 10:30 on Thursday"
230,"My Picky toy poodle, is not a ""foodie"", so I had to do alot of experimenting trying different foods.  She doesn't like ""stew types"", but more of a pate.   She loves 
Royal Canin, but I had to find others for variety.    She likes Bella, which has a nice variety."
231,Heera has been enjoying this stew for almost 7years now!! Our beagle's coat still shines as a newborn's and we attribute that fact to Nature's Recipe Healthy Skin stew!! Heera has always been a vegetarian and we are very grateful for this particular brand for providing first choice!!
232,"This actually appears to be real food....chunks of chicken, veggies you can actually see and gravy. I mix with kibble and my blue heeler loves it."
233,My greyhound husky mix loves this! Like that it's chucky and you can see the veggies! Great ingredients!
234,"My little pug Josie, who has very few teeth left LOVES this food. She starts barking at me as soon as it is feeding time bc she is so impatient and LOVES this food. And she gets VERY upset and growly at the other dogs if they try to move in on her bowl, baring her couple of teeth she has left :) she "
235,My dog is absolutely so picky when it comes to meal times. We've tried about 10 different kinds and she would just leave it in the bowl. Since we switched her to this she eats it all up in minutes!! It is so nice to see her enjoying meal times and gives me peace of mind. Wish that there was more to the
236,"After a bout of pancreatitis, I have been struggling with finding something my dog will eat minus boiling her potatoes each day.  She isn't fond of the dry food she is so this is a great addition to her bowl!"
237,"This is my first time buying a rabbit dog food.  I smelled fine to me, and the dogs apparently thought it smelled pleasantly aromatic.   Wish it were a bit less expensive, so will buy it more as a treat than a regular food to mix in with the veggies I cook for the dogs.  The first time I gave it to them"
238,"I had received some of this can food from a rescue who did not have any dogs that needed it so they knew I had one dog eating Renal Support food.  I alternated this food with the D formula.  Guess my little senior bud liked it so much that when I ran out of T and was only giving him the D, he started"
239,Blue has been leading the way for so long with holistic great foods for pets. This wet food is just another fantastic example. Thanks so much for making it so my dog has something he can eat. Has no egg product or grains that he is allergic to and Lamb that he can actually eat for now. We struggle so
240,"Our Aussie Doodle Bailey made the transition from Chicken Soup for the Soul Puppy formula to Adult very easily. As far as Bailey was concerned, same great taste and flavor! Bailey lives for Chewy packages. When he sees the Chewy box, he knows it holds something great for him! Try it, your dog will love"
241,Awesome!!! I needed for fast and it was delivered quickly. I absolutely love the auto ship option. I never have to worry about running out of food for my baby
242,"My two spoiled baby's love this this food. My older poodle Vida has problems with her tummy, but she loves this food and she has no problems. My Aussi Pandora can be picky. She also loves this food and gobbles it right up .Vida is a toy poodle and my aussi is standard. I give this food to my older poodle"
243,"I bought these to use as topping for my dog's dry food and it works great. It looks like beef not chicken (darker than I thought chicken should be), but Maggy likes it. I use 1/2 per serving which leaves 1/2 to have to put in a bowl for the refrigerator. It would be better for me if it could be closed"
244,My only problem is that so many cases of my order were stuffed into the box and many of the cans were dented and/or crushed but still usable. Hopefully this will not happen again.
245,"My chihuahua love this food and will hardly eat anything else. The large pet box stores here charge almost double what Chewy charges, so now I order auto ship. Also, many times the pet stores were sold out of it and I would have to buy something else. Naturally my dog wouldn't eat something else so I"
246,My 5 dogs love this food. Pedigree is a brand I trust for my dogs.  I have used this food for a number of years and find it to be one food the dogs are excited to get. Best  part is Chewy has this particular food cheaper than even the stores and it comes right to my front door.
247,I changed my  order and the process was quick and easy and my order came through as promised without a hitch. Chewy.com is the best!
248,"This is our Shih Tzu's prescribed food from our vet for her urinary issues. So thankful to be able to get a carton from Chewy at a savings of about .50 cents per can, plus we live a distance from the vet and love that Chewy can deliver in a short time and right to our door."
249,"The salmon BENEFUL dinner is very hard to find in the grocery store & my dogs love it a lot.  It is a great last-minute dinner for them when I'm running late for feeding time, and don't have enough of their regular food on hand."
250,"I have a one-year old Cocker Spaniel which I fed the Wellness Puppy can to and she did great.  Now that she is 1, I have switched her to the adult Wellness Chicken and Sweet P. similar to the puppy and she seems to be doing just fine.  She has been on this for about 2 weeks, so we'll see what happens"
251,"It saves me time and money when you cant always get out when you are ill and and you need thing for your pets that help you with your health problems so i thank you vary much.                                                                                                                                                 
"
252,"I have two Min Pins.  Very picky about what they eat.  Sssoo, we thought we would try Nutrish.  One of the Min Pins has Kidney Disease and the other has Diabetes.  So, one can't have fat and the other needs fat.  One can't have protein and the other needs protein.  It is a battle with ALL foods.  But"
253,Love this brand of food !    My bichon no longer has eye stain and mouth staining issues...  Tried other brands but this one seems to do the trick!  She also has a sensitive stomach and this doesn't bother her at all   :)
254,"I've been using Chewy for a few months.  I've had nothing but excellent service.  Love the free shipping.  I can't say enough good things.

My dog has a very special diet and it's hard to find the specialized type of dog food she can eat.  I was able to find it with Chewy and cheaper, too!  They are"
255,"This was my first time using Chewy.  I recently moved to a new location and it's difficult to schedule a time to drive to the vet's office and pick up food for Cody.  Sometimes I forget to order on time and then end up running out.  
Chewy contacted my vet - got the Rx from them and I had the two cases"
256,"Cooper, my 2 year old golden retriever, sometimes has a bad appetite in the morning. This stuff really does the trick! He loves it! We've tried lots of different wet foods and this is the only one that he never turns down. I removed a star because I really, really wish they'd take out the carrageenan"
257,This is the first one he can eat with No Problem!! Our Chihuahua is 12 almost 13 and a rescue dog. They beat him bad a kept him outdoors. He has no teeth and his jaw on one side is broke so bad that it can't be fixed. This is the first food he can eat (with a little water) that stays down. He loves it
258,"I have fed the dry and matching canned lamb and brown rice to a poodle/terrior, 2 mixed schnauzers, a dalmatian, and a pure bred schnauzer. All have thrived and had bright shiney coats and the have been healthy ( except for a non-related food problem with the pure schnauzer). As the old saying goes, "
259,My very selective GSD mix loves this food. I usually have to buy individual cans of different flavors/varities but he's really taken to this brand and flavor. I'm impressed with the high quality ingredients too.
260,"As soon as the can is opened I can feel two sets of eyes staring at me.
Each dog gets half of a can mixed with half can of dry Blue  Buffalo so
they get the best of both worlds . I rotate 3 or 4 different types and brands
of top shelf foods and the dogs seem to like the  occasional change ."
261,"This is the one moist dog food that they eat like no other.  I love the fact that it is grain free, quality, with limited ingredients.  Not only is it good for my dogs, but the ease of ordering with Chewy.com and the super fast delivery, make it much easier because it is delivered straight to my door"
262,My 15-yr-old Old English Sheepdog is finally eating again! I have used Nutro forever and just started mixing this in so she might eat again.  She absolutely loves it.  Try this for your finicky dog!  So now I have this delivered right to my front door by the case. Thanks Chewy!!
263,"Creatinine level was cut in half after three weeks on this product. No, our dog does not like this food so we sparingly add a little something he does like such as sweet potato or broccoli. Our trust is in our DVM, whose doctorate thesis was in canine food. It is off putting that the ingredients are "
264,"We were having a difficult time finding our dog's favorite food in our little coastal town.  This worked out so well!  Then we were told that we would have to change the dog food to a Prescription dog food and again, very simple."
265,"All three of my dogs have lost weight with this diet, used according to my vet's instructions. And they LOVE it...I add some string beans to this along with their Metabolic Kibble and they are completely satisfied!!"
266,"My beagle/bassett had to have dental surgery a couple weeks ago.  Eight extractions..yikes!! Needless to say, no crunchy food for two weeks.  Well this was a perfect alternative!"
267,"I bought this to replace the no longer available from Chewy -- Fromm canned dog food I had been purchasing for my finicky dog.    When I first opened the can I did not like all the liquid.    After the can is refrigerated the liquid becomes solid -- so less messy.    Most importantly, my dog gobbles "
268,I originally had my dog on Canidae dry dog food but she developed what seems to be a tumor in her sinus cavity it got infected and was very sore before she started taking antibiotics & because it was so close to her teeth she couldnt chew the dry dog food & was not eating so I got the Canidae canned 
269,"I have two mini schnauzers and weight, nutrition and health are very important to me.  After checking the Schnauzers Rule website and learning a few things about reading labels and how to decipher them I was really impressed by the way this product added up in benefits for my girls.  They enjoy it and"
270,"Chewy.com was out of the Ultra Senior, the rep checked and found that the Adult Large Breed was very similiar to the Senior so I ordered a case.  The rep did not charge me shipping. The only thing that could have made it 100% is because they were out of Senior perhaps they could have substituted an item"
271,My dogs love this! I started feeding them this brand & flavor a few years ago & it was the best thing I could have ever done. They are all healthy & their coats are very shiny. They haven't had an upset stomach from this food (both dry & wet food) & adjusted very easily to it. I only use the wet food
272,My 2 basset hounds absolutely proplan wet food. The price is much better on Cheney than even at local grocery.
273,After finding out that my little Pomeranian had food allergies I tried many different types of food.  Finally I found Merrick and love that it is grain free.  After checking the ingredients I saw no poultry either.  Since she has been eating this food her skin has cleared up and she is excited whenever
274,"This brand is a staple in the house for kibble and canned food. This flavor is a hit for our Doberman and Weim. I have bought this brand for 2 years, but this flavor is a more recent add to give variety to meals and they love it!"
275,Great size to use as a topped to mix with dry food - my pup loves to gobble it down
276,I had recently placed an order and didn't realize the shipping address was wrong until after I hit submit. When I called to get it fixed the representative was very helpful and friendly and even saved me some money by combining my orders.
277,"This has been a lifesaver for us! I have a yorkie with an digestive disorder and can only eat pate style food. He also has acid reflux and the oatmeal in this recipe is very calming on his stomach. Ordering from Chewy.com is great, my cases of canned food no longer arrive crushed (the way they did from"
278,"My golden retriever has always been fed blue, I switched her to blue Freedom I put a few spoons of the canned to give it the extra taste so she would eat it it works out great she is 3 yrs old and eats 1cup dry lamb blue Freedom and 3spoons of the canned she is in wonderful health. I strongly recommend"
279,It won't last through the month anymore.  He really likes it.  I have to put it witha dry food so he will eat more slowly.
280,Everything in my order was perfect.  My second time using you and am so happy with it.  I spent more time running all over town trying to find enough of the Beneful tubs to feed my 105# baby for a month.  That is what he likes.
281,I was having such a problem getting my dogs to eat there food but adding this to the dry food with just 1 teaspoon they devour it!!!!
282,"No complaints here on this product. Both dogs love it !   My  Puggle has a sensitive stomach and has never gotten sick after eating it now over a month, and heartily eats her food  since mixing this with the dry food. Highly recommend!"
283,Our very picky eater loves this flavor.  That is saying something because she will go without eating most food brands and flavors.
284,my dog is pretty fussy and he really likes this.  I wish they made it for overweight dogs too since my other dog has a weight problem
285,Dogs luv this! I mix it in with the dry purina one and they really enjoy their dinner! Having Chewy ship right to the door a day after I order is the best. And their prices can't be beat.
286,My 5 month old puppy loves this canned food along with his Puppy Chow. He recommends this wonderful tasting Blue Buffalo canned food for puppies all over the world!
287,We have finally found a meal that Chrissy eats right up!  Note ~ we traveled extensively out west to and from Alaska this summer.  This meal and all of Nutrish items difficult to find.  Stock up before traveling if you travel that way!
288,"I didn't realize that this canned food is actually a topper for a week. It's written it such small print, it's easy to miss. Now I mix it with the Honest Kitchen's grain-free base food and my dogs love it and I know it's nutritious. The reason I chose this food was because it was listed on Project Clean"
289,"Our dog, Sarah, just loves Merrick's 96% line.  We rotate a different flavor every day.  She always eats every last bit of it, which has not been the case for other foods."
290,"This food is great! It smells amazing, like you were cooking a stew of some sort on the stove. My puppy would rarely eat, or at least we had a hard time getting her to, but when we added this to her food she couldnt wait to eat, as soon as she heard the food being poured she was ready. We have a little"
291,"My dogs have been on a metabolic weight management diet for a few months and they were not fond of it, so with their doctors  approval I changed their diet to the light food. The food is so moist there is no comparison. It is  so much easier to mix this can food with their dry food any day."
292,"Using Rachel Ray dry food for both our small and large dogs, but they're spoiled I admit, and they always want something 'good' mixed in for flavor....so now I'm using this, and it lasts for 2-3 meals!  Really nice big chunks of meat, and even can be warmed up a bit in the microwave - good purchase!!"
293,"It has helped my dog to eat healthier, I had no idea what food to choose for my dog to lose weight, then I found this one and it has worked so far, I mix it with the same but in dry food, she gets picky with the dry food but she has no problem with the can so I rather mix a little of this can with the"
294,My little 13 year old sheltie girl with kidney and liver problems loved this until the day she died. It kept her physical wasting to a minimum.  Sadly age and a stroke took her but seeing her appetite remain in contrast to her two older brothers with KD was a real gift.
295,My dog can hardly wait for Sundays! I specifically ordered it for Sunday.  My daughter in NY let me know about her dog luvving it so I had to give it a try.  Thank You guys for making my doggie HAPPY.
296,My senior chi needed to be switched to soft food. He also has heart disease & is on a low sodium diet. After much research on wet foods & their sodium levels this was by far the lowest I found & perfect for him.
297,I have tried so many canned dog foods for KK only to give them to neighbors.  She loves this dog food!
298,"I have 7 dogs, mostly elderly and one that has a poultry sensitivity.  I use this an an occasional supplement to raw/homemade diet.  No poultry and even the most elderly of my dogs who takes medications that mess with appetite love this food."
299,"I find that all of this line of Blue Buffalo's canned foods are a hit with my sister labs. I can't detect that they love one more than another, so I order several different recipes so they don't have to eat the same thing every day."
300,"My Golden Retriever had digestion issues. We tried 3 different foods for her, including a prescription formula kibble.  We found Canidae 10 ingredient kibble and it solved her issues within days.  After a month on that, we tried this canned food as a tasty addition. She loves it and it didn't adversely"
301,"I made the mistake of deciding to add some canned food to the dry food for my dogs for variety.  Now my pit mix, Sally, is spoiled.  She eats only the canned food and leaves the dry food behind...lol.  She has Valley Fever so now she will be getting just canned food.  She is seriously loving this brand"
302,My pup loves this food! Its low in fat witch is great since she has pancreatitis and can not process high fat foods. But this food gives her energy and she just loves it! Its cheaper than prescription diet food and i think healthier for her since the ingredients are way better!
303,"We had adopted an 84 days old  ""Bichon Poodle,"" Rachael, born Aug 22, 2002 was the sweetest of sweet little girl dog.  However, in 2009 she became very ill with gailbladder problems.  The veterinarians took a pro active approach vs surgery and we started using prescription  Royal  Canin vegetarian and"
304,"My furry friend, a 12Y old Malti-tzu, has suffered with IBD for several years now and digestive issues have become more frequent lately. The Great Vets that are treating him wanted to see if an illumination diet would help with his issues. I made the transition (At their request) with the Hill's Prescription"
305,"Great food for dogs that are on a low fat diet. My terrier mix has belly issues. Does well with this food. Also he likes the taste , very important. Chewy offered his food at a wonderful price, and  delivery, to my door. Free delivery at that, due to my order. Excellent all around."
306,"This is a good wet food addition, our dogs really like it. One is a very fussy eater, but she really attacks this when added to her bowl. We need a quality canned food at an affordable price, and so far, this seems to be great."
307,"My 16 year old Lab was diagnosed with kidney failure over four years ago. He's been on prescription dog food ever since. As he has aged, he sometimes is slow to eat. But when I changed to this new formula of prescription food, he doesn't hesitate to gobble it up! As for this company, I wouldn't do business"
308,I cannot believe how much time and physical lifting I saved. The food is about the same price as at the store but I did not have the hassle of finding enough food to last and I did not miss hauling the food to the car then into the house. All around this is the smartest move I could have made. My German
309,"Having trouble finding a hypoallergenic food my cocker will eat. Argh.
However, she is liking this! Yea!! I have tried so many others of several brands. She did like venison w sweet potato,  but this was discontinued and I refuse to feed a food w mostly sweet potato which the current version is. The"
310,My crew love sweet potatoes so are up for anything that has them in it. I feed grain free to all 8 of my dogs because some do have allergies and sometimes they eat each other's food. This soft food works for the older dogs that have a harder time chewing kibble without making their bowel movements too
311,"I buy this product to help get the pills down. Four of my dogs require medication.  I have found that by hiding their medication in a small (meatball) of wet food, they take their pills first then continue with their kibble.  My Rottweiler is finicky and she prefers Pro Plan Grain Free to other wet food"
312,I have been vegan for 11 months and had no plans to transition my dogs. They all have varying food sensitivities. I bought a case of this just to prove to myself it wouldn't be an option for them. The first day I fed them a few fingers full of it and they went nuts! They ended up eating the whole can
313,"For our first time ordering from Chewy.com and ordering a prescription dog food, we had our order within 2 days even after having to have Vet approval.  Which I will mention with a RX dog food you even took out the guessing game for the Vets information by adding the zip code and vet's name and up came"
314,"I use this good as a topping on weight management hard food. It has meat and chunks of vegetables as well as just enough gravy to keep it moist so you are not paying for gravy.

I would not use this as their only food, it's too rich and expensive. One tub holds 8 oz's. I feed 3 dogs 3 meals, or a table"
315,"I have 2 standard poodles, sisters, one has a sensitive stomach-one doesn't. This food is perfect, they both love it and the yard clean up is never messy!
No problems with the sensitive stomach."
316,We recently rescued a very neglected German Shepherd who was very underweight and I introduced this beef roll to her diet by dicing up 2 inches worth and adding it to her kibble. She had already gained 5 pounds in the past 2 months. She loves feeding time and cleans her bowl every time.
317,"My dog's trainer cuts this up and uses it as treats and the dogs go crazy for it! You need to keep it refrigerated but I usually just cube it up, put it in tupperware, and pull it out for training sessions. It's great because you really get a lot for your money and the soft texture is better for training"
318,"An excellent food for reducing unwanted weight.  Takes a few weeks to see results, but stick with it!"
319,"Have been buying Whole Earth brand for the last year or so. My Shepherd mix had health issues as a puppy so I went through lots of food reviews to find  good, high protein, immune-building brands. I liked that this is a Merrick product (which I had been feeding her) but is lower priced. Grain free, no"
320,"I have extremely picky eater rescue year old  pup named Bo. I rescued him about a year ago. At first he inhaled everything that I put in front of him. Once he got comfortable and realized he is safe now he became very picky eater and would not eat much or starve himself then eat a little, I have changed"
321,I've been struggling to find a food that will not set off my one Am Staff's allergies.  The Merrick line and this esp. seems to be the ticket.  Both of my large terriers love this food and all Merrick in general.
322,"Highly recommended natural balance canned and dry food... my Shiba Inus love this food and never have any issues with it. When puppies are old enough to eat the canned food, this is the only brand I've found that they love without any allergic reactions."
323,"My picky poodle came home with me on a Tuesday afternoon. She turned her nose up at her gourmet hard dog food. Out of desperation I asked my neighbors on Saturday morning how they got their Westie-Poo to eat. This is the secret: mix in a heaping cereal spoon of the Nutro stew with the hard food, microwave"
